Category: All categories

Day,covid 19: (India)
2020-11-01,29
2020-11-02,27
2020-11-03,27
2020-11-04,27
2020-11-05,26
2020-11-06,26
2020-11-07,27
2020-11-08,26
2020-11-09,29
2020-11-10,23
2020-11-11,25
2020-11-12,25
2020-11-13,26
2020-11-14,24
2020-11-15,29
2020-11-16,28
2020-11-17,36
2020-11-18,34
2020-11-19,33
2020-11-20,34
2020-11-21,34
2020-11-22,35
2020-11-23,34
2020-11-24,34
2020-11-25,31
2020-11-26,29
2020-11-27,24
2020-11-28,26
2020-11-29,23
2020-11-30,25
2020-12-01,26
2020-12-02,23
2020-12-03,24
2020-12-04,21
2020-12-05,23
2020-12-06,21
2020-12-07,23
2020-12-08,20
2020-12-09,23
2020-12-10,23
2020-12-11,22
2020-12-12,21
2020-12-13,22
2020-12-14,21
2020-12-15,22
2020-12-16,20
2020-12-17,20
2020-12-18,18
2020-12-19,20
2020-12-20,21
2020-12-21,26
2020-12-22,27
2020-12-23,23
2020-12-24,21
2020-12-25,20
2020-12-26,18
2020-12-27,18
2020-12-28,18
2020-12-29,21
2020-12-30,21
2020-12-31,18
2021-01-01,19
2021-01-02,20
2021-01-03,21
2021-01-04,19
2021-01-05,20
2021-01-06,19
2021-01-07,18
2021-01-08,16
2021-01-09,17
2021-01-10,17
2021-01-11,16
2021-01-12,18
2021-01-13,17
2021-01-14,17
2021-01-15,15
2021-01-16,20
2021-01-17,18
2021-01-18,18
2021-01-19,16
2021-01-20,16
2021-01-21,17
2021-01-22,17
2021-01-23,15
2021-01-24,16
2021-01-25,15
2021-01-26,14
2021-01-27,17
2021-01-28,17
2021-01-29,16
2021-01-30,16
2021-01-31,16
2021-02-01,15
2021-02-02,15
2021-02-03,15
2021-02-04,15
2021-02-05,14
2021-02-06,13
2021-02-07,13
2021-02-08,13
2021-02-09,14
2021-02-10,15
2021-02-11,14
2021-02-12,14
2021-02-13,12
2021-02-14,13
2021-02-15,13
2021-02-16,15
2021-02-17,17
2021-02-18,17
2021-02-19,17
2021-02-20,17
2021-02-21,21
2021-02-22,22
2021-02-23,22
2021-02-24,20
2021-02-25,20
2021-02-26,19
2021-02-27,21
2021-02-28,20
2021-03-01,22
2021-03-02,19
2021-03-03,18
2021-03-04,17
2021-03-05,16
2021-03-06,16
2021-03-07,17
2021-03-08,17
2021-03-09,17
2021-03-10,17
2021-03-11,19
2021-03-12,18
2021-03-13,20
2021-03-14,20
2021-03-15,21
2021-03-16,23
2021-03-17,26
2021-03-18,26
2021-03-19,28
2021-03-20,24
2021-03-21,30
2021-03-22,31
2021-03-23,25
2021-03-24,29
2021-03-25,29
2021-03-26,27
2021-03-27,31
2021-03-28,25
2021-03-29,32
2021-03-30,31
2021-03-31,32
2021-04-01,33
2021-04-02,37
2021-04-03,38
2021-04-04,44
2021-04-05,44
2021-04-06,45
2021-04-07,44
2021-04-08,48
2021-04-09,43
2021-04-10,44
2021-04-11,50
2021-04-12,52
2021-04-13,52
2021-04-14,54
2021-04-15,61
2021-04-16,67
2021-04-17,75
2021-04-18,76
2021-04-19,88
2021-04-20,85
2021-04-21,87
2021-04-22,95
2021-04-23,92
2021-04-24,97
2021-04-25,89
2021-04-26,97
2021-04-27,95
2021-04-28,100
2021-04-29,89
2021-04-30,90
2021-05-01,93
2021-05-02,71
2021-05-03,90
2021-05-04,93
2021-05-05,96
2021-05-06,96
2021-05-07,92
2021-05-08,90
2021-05-09,81
2021-05-10,86
2021-05-11,96
2021-05-12,83
2021-05-13,71
2021-05-14,64
2021-05-15,64
2021-05-16,70
2021-05-17,66
2021-05-18,64
2021-05-19,64
2021-05-20,59
2021-05-21,55
2021-05-22,55
2021-05-23,55
2021-05-24,53
2021-05-25,54
2021-05-26,50
2021-05-27,49
2021-05-28,49
2021-05-29,49
2021-05-30,50
2021-05-31,46
2021-06-01,46
2021-06-02,45
2021-06-03,42
2021-06-04,42
2021-06-05,43
2021-06-06,43
2021-06-07,42
2021-06-08,39
2021-06-09,38
2021-06-10,38
2021-06-11,36
2021-06-12,36
2021-06-13,37
2021-06-14,33
2021-06-15,34
2021-06-16,33
2021-06-17,31
2021-06-18,29
2021-06-19,29
2021-06-20,28
2021-06-21,29
2021-06-22,29
2021-06-23,26
2021-06-24,30
2021-06-25,31
2021-06-26,30
2021-06-27,29
2021-06-28,29
2021-06-29,27
2021-06-30,26
