Category: All categories

Week,covid 19: (India)
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,3
2020-03-08,10
2020-03-15,31
2020-03-22,78
2020-03-29,100
2020-04-05,95
2020-04-12,95
2020-04-19,91
2020-04-26,88
2020-05-03,89
2020-05-10,72
2020-05-17,66
2020-05-24,59
2020-05-31,50
2020-06-07,53
2020-06-14,44
2020-06-21,43
2020-06-28,42
2020-07-05,39
2020-07-12,40
2020-07-19,36
2020-07-26,30
2020-08-02,27
2020-08-09,24
2020-08-16,23
2020-08-23,21
2020-08-30,20
2020-09-06,20
2020-09-13,19
2020-09-20,16
2020-09-27,15
2020-10-04,14
2020-10-11,13
2020-10-18,12
2020-10-25,12
2020-11-01,11
2020-11-08,11
2020-11-15,14
2020-11-22,13
2020-11-29,10
2020-12-06,9
2020-12-13,8
2020-12-20,9
2020-12-27,8
2021-01-03,8
2021-01-10,7
2021-01-17,7
2021-01-24,7
2021-01-31,6
2021-02-07,6
2021-02-14,7
2021-02-21,9
2021-02-28,8
2021-03-07,8
2021-03-14,10
2021-03-21,12
2021-03-28,14
2021-04-04,20
2021-04-11,26
2021-04-18,35
2021-04-25,36
2021-05-02,37
2021-05-09,33
2021-05-16,27
2021-05-23,23
2021-05-30,20
2021-06-06,17
2021-06-13,14
2021-06-20,12
2021-06-27,11
2021-07-04,10
2021-07-11,9
2021-07-18,8
2021-07-25,8
2021-08-01,8
2021-08-08,8
2021-08-15,7
2021-08-22,8
2021-08-29,8
2021-09-05,7
2021-09-12,7
2021-09-19,6
2021-09-26,5
2021-10-03,5
2021-10-10,4
2021-10-17,5
2021-10-24,5
2021-10-31,3
2021-11-07,4
2021-11-14,4
2021-11-21,5
2021-11-28,7
2021-12-05,6
2021-12-12,5
2021-12-19,6
2021-12-26,7
2022-01-02,12
2022-01-09,11
2022-01-16,10
2022-01-23,7
2022-01-30,5
2022-02-06,4
2022-02-13,3
