Category: All categories

Day,covid 19: (India)
2020-03-01,1
2020-03-02,2
2020-03-03,3
2020-03-04,5
2020-03-05,4
2020-03-06,3
2020-03-07,3
2020-03-08,3
2020-03-09,5
2020-03-10,7
2020-03-11,7
2020-03-12,10
2020-03-13,14
2020-03-14,13
2020-03-15,13
2020-03-16,17
2020-03-17,21
2020-03-18,24
2020-03-19,31
2020-03-20,39
2020-03-21,49
2020-03-22,54
2020-03-23,83
2020-03-24,73
2020-03-25,69
2020-03-26,73
2020-03-27,84
2020-03-28,93
2020-03-29,97
2020-03-30,88
2020-03-31,92
2020-04-01,94
2020-04-02,100
2020-04-03,94
2020-04-04,97
2020-04-05,95
2020-04-06,95
2020-04-07,91
2020-04-08,87
2020-04-09,88
2020-04-10,100
2020-04-11,99
2020-04-12,97
2020-04-13,93
2020-04-14,93
2020-04-15,95
2020-04-16,90
2020-04-17,88
2020-04-18,90
2020-04-19,93
2020-04-20,88
2020-04-21,88
2020-04-22,89
2020-04-23,87
2020-04-24,86
2020-04-25,88
2020-04-26,89
2020-04-27,89
2020-04-28,83
2020-04-29,78
2020-04-30,77
2020-05-01,88
2020-05-02,86
2020-05-03,91
2020-05-04,86
2020-05-05,89
2020-05-06,91
2020-05-07,82
2020-05-08,80
2020-05-09,82
2020-05-10,80
2020-05-11,74
2020-05-12,70
2020-05-13,65
2020-05-14,65
2020-05-15,65
2020-05-16,69
2020-05-17,70
2020-05-18,69
2020-05-19,69
2020-05-20,62
2020-05-21,60
2020-05-22,58
2020-05-23,60
2020-05-24,58
2020-05-25,58
2020-05-26,53
2020-05-27,54
2020-05-28,53
2020-05-29,53
2020-05-30,54
2020-05-31,53
2020-06-01,52
2020-06-02,50
2020-06-03,47
2020-06-04,47
2020-06-05,46
2020-06-06,48
2020-06-07,52
2020-06-08,49
2020-06-09,50
2020-06-10,49
2020-06-11,53
2020-06-12,52
2020-06-13,51
2020-06-14,46
2020-06-15,45
2020-06-16,43
2020-06-17,44
2020-06-18,40
2020-06-19,39
2020-06-20,43
2020-06-21,42
2020-06-22,45
2020-06-23,41
2020-06-24,40
2020-06-25,42
2020-06-26,40
2020-06-27,40
2020-06-28,43
2020-06-29,41
2020-06-30,36
2020-07-01,37
2020-07-02,39
2020-07-03,39
2020-07-04,38
2020-07-05,40
2020-07-06,40
2020-07-07,38
2020-07-08,37
2020-07-09,35
2020-07-10,35
2020-07-11,40
2020-07-12,46
2020-07-13,40
2020-07-14,37
2020-07-15,32
2020-07-16,35
2020-07-17,35
2020-07-18,36
2020-07-19,38
2020-07-20,36
2020-07-21,33
2020-07-22,33
2020-07-23,33
2020-07-24,32
2020-07-25,32
2020-07-26,32
2020-07-27,31
2020-07-28,29
2020-07-29,27
2020-07-30,25
2020-07-31,24
2020-08-01,24
2020-08-02,25
2020-08-03,25
2020-08-04,24
2020-08-05,21
2020-08-06,22
2020-08-07,21
2020-08-08,22
2020-08-09,21
2020-08-10,21
2020-08-11,24
2020-08-12,20
2020-08-13,18
2020-08-14,18
2020-08-15,17
2020-08-16,18
2020-08-17,18
2020-08-18,18
2020-08-19,17
2020-08-20,17
2020-08-21,17
2020-08-22,17
2020-08-23,17
2020-08-24,16
2020-08-25,16
2020-08-26,16
2020-08-27,16
2020-08-28,16
2020-08-29,16
2020-08-30,18
2020-08-31,16
2020-09-01,16
2020-09-02,16
2020-09-03,17
2020-09-04,15
2020-09-05,16
2020-09-06,18
2020-09-07,17
2020-09-08,16
2020-09-09,16
2020-09-10,16
2020-09-11,15
2020-09-12,16
2020-09-13,17
2020-09-14,15
2020-09-15,16
2020-09-16,15
2020-09-17,15
2020-09-18,14
2020-09-19,13
2020-09-20,14
2020-09-21,14
2020-09-22,14
2020-09-23,13
2020-09-24,14
2020-09-25,13
2020-09-26,13
2020-09-27,14
2020-09-28,13
2020-09-29,13
2020-09-30,13
2020-10-01,13
2020-10-02,12
2020-10-03,12
2020-10-04,12
2020-10-05,12
2020-10-06,12
2020-10-07,12
2020-10-08,12
2020-10-09,12
2020-10-10,11
2020-10-11,12
2020-10-12,12
2020-10-13,11
2020-10-14,11
2020-10-15,11
2020-10-16,10
2020-10-17,10
2020-10-18,11
2020-10-19,11
2020-10-20,11
2020-10-21,10
2020-10-22,11
2020-10-23,10
2020-10-24,10
2020-10-25,10
2020-10-26,12
2020-10-27,12
2020-10-28,11
2020-10-29,11
2020-10-30,10
2020-10-31,10
