Category: All categories

Week,covid medicines: (India)
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,<1
2020-03-01,1
2020-03-08,5
2020-03-15,11
2020-03-22,26
2020-03-29,17
2020-04-05,15
2020-04-12,12
2020-04-19,16
2020-04-26,10
2020-05-03,11
2020-05-10,10
2020-05-17,10
2020-05-24,8
2020-05-31,11
2020-06-07,14
2020-06-14,15
2020-06-21,22
2020-06-28,10
2020-07-05,14
2020-07-12,18
2020-07-19,19
2020-07-26,18
2020-08-02,19
2020-08-09,11
2020-08-16,14
2020-08-23,16
2020-08-30,17
2020-09-06,17
2020-09-13,21
2020-09-20,16
2020-09-27,11
2020-10-04,11
2020-10-11,9
2020-10-18,12
2020-10-25,6
2020-11-01,10
2020-11-08,11
2020-11-15,8
2020-11-22,11
2020-11-29,5
2020-12-06,6
2020-12-13,4
2020-12-20,6
2020-12-27,3
2021-01-03,7
2021-01-10,3
2021-01-17,5
2021-01-24,4
2021-01-31,2
2021-02-07,5
2021-02-14,3
2021-02-21,3
2021-02-28,8
2021-03-07,5
2021-03-14,8
2021-03-21,21
2021-03-28,22
2021-04-04,33
2021-04-11,64
2021-04-18,95
2021-04-25,99
2021-05-02,100
2021-05-09,93
2021-05-16,52
2021-05-23,44
2021-05-30,33
2021-06-06,23
2021-06-13,21
2021-06-20,17
2021-06-27,14
2021-07-04,14
2021-07-11,12
2021-07-18,7
2021-07-25,8
2021-08-01,12
2021-08-08,8
2021-08-15,7
2021-08-22,9
2021-08-29,10
2021-09-05,5
2021-09-12,7
2021-09-19,4
2021-09-26,6
2021-10-03,5
2021-10-10,6
2021-10-17,6
2021-10-24,2
2021-10-31,4
2021-11-07,2
2021-11-14,3
2021-11-21,2
2021-11-28,4
2021-12-05,2
2021-12-12,3
2021-12-19,2
2021-12-26,8
2022-01-02,29
2022-01-09,36
2022-01-16,31
2022-01-23,20
2022-01-30,10
2022-02-06,3
2022-02-13,2
