Category: All categories

Day,covid medicines: (India)
2021-07-01,44
2021-07-02,45
2021-07-03,16
2021-07-04,69
2021-07-05,37
2021-07-06,7
2021-07-07,29
2021-07-08,22
2021-07-09,45
2021-07-10,46
2021-07-11,25
2021-07-12,22
2021-07-13,36
2021-07-14,36
2021-07-15,15
2021-07-16,29
2021-07-17,53
2021-07-18,38
2021-07-19,0
2021-07-20,13
2021-07-21,16
2021-07-22,39
2021-07-23,16
2021-07-24,7
2021-07-25,31
2021-07-26,28
2021-07-27,7
2021-07-28,7
2021-07-29,41
2021-07-30,0
2021-07-31,37
2021-08-01,33
2021-08-02,58
2021-08-03,35
2021-08-04,34
2021-08-05,33
2021-08-06,7
2021-08-07,35
2021-08-08,23
2021-08-09,14
2021-08-10,29
2021-08-11,22
2021-08-12,14
2021-08-13,21
2021-08-14,21
2021-08-15,8
2021-08-16,20
2021-08-17,28
2021-08-18,7
2021-08-19,15
2021-08-20,14
2021-08-21,23
2021-08-22,19
2021-08-23,52
2021-08-24,14
2021-08-25,14
2021-08-26,7
2021-08-27,27
2021-08-28,22
2021-08-29,25
2021-08-30,15
2021-08-31,30
2021-09-01,16
2021-09-02,21
2021-09-03,51
2021-09-04,23
2021-09-05,0
2021-09-06,7
2021-09-07,24
2021-09-08,8
2021-09-09,16
2021-09-10,9
2021-09-11,25
2021-09-12,0
2021-09-13,16
2021-09-14,15
2021-09-15,16
2021-09-16,24
2021-09-17,16
2021-09-18,17
2021-09-19,0
2021-09-20,7
2021-09-21,15
2021-09-22,7
2021-09-23,7
2021-09-24,14
2021-09-25,8
2021-09-26,40
2021-09-27,22
2021-09-28,14
2021-09-29,7
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,8
2021-10-04,22
2021-10-05,15
2021-10-06,8
2021-10-07,7
2021-10-08,15
2021-10-09,8
2021-10-10,0
2021-10-11,0
2021-10-12,17
2021-10-13,16
2021-10-14,0
2021-10-15,17
2021-10-16,53
2021-10-17,27
2021-10-18,7
2021-10-19,16
2021-10-20,24
2021-10-21,0
2021-10-22,8
2021-10-23,8
2021-10-24,0
2021-10-25,0
2021-10-26,8
2021-10-27,8
2021-10-28,8
2021-10-29,0
2021-10-30,9
2021-10-31,0
2021-11-01,9
2021-11-02,9
2021-11-03,9
2021-11-04,0
2021-11-05,9
2021-11-06,18
2021-11-07,0
2021-11-08,8
2021-11-09,17
2021-11-10,0
2021-11-11,0
2021-11-12,17
2021-11-13,0
2021-11-14,0
2021-11-15,0
2021-11-16,8
2021-11-17,8
2021-11-18,0
2021-11-19,17
2021-11-20,0
2021-11-21,9
2021-11-22,17
2021-11-23,0
2021-11-24,17
2021-11-25,0
2021-11-26,8
2021-11-27,0
2021-11-28,8
2021-11-29,0
2021-11-30,16
2021-12-01,0
2021-12-02,16
2021-12-03,8
2021-12-04,16
2021-12-05,0
2021-12-06,8
2021-12-07,9
2021-12-08,8
2021-12-09,0
2021-12-10,0
2021-12-11,9
2021-12-12,10
2021-12-13,0
2021-12-14,0
2021-12-15,9
2021-12-16,17
2021-12-17,0
2021-12-18,9
2021-12-19,0
2021-12-20,0
2021-12-21,9
2021-12-22,0
2021-12-23,17
2021-12-24,0
2021-12-25,9
2021-12-26,9
2021-12-27,0
2021-12-28,16
2021-12-29,16
2021-12-30,41
2021-12-31,34
2022-01-01,39
2022-01-02,67
2022-01-03,24
2022-01-04,46
2022-01-05,69
2022-01-06,69
2022-01-07,96
2022-01-08,99
2022-01-09,99
2022-01-10,72
2022-01-11,93
2022-01-12,69
2022-01-13,96
2022-01-14,80
2022-01-15,45
2022-01-16,68
2022-01-17,100
2022-01-18,99
2022-01-19,77
2022-01-20,39
2022-01-21,63
2022-01-22,52
2022-01-23,36
2022-01-24,87
2022-01-25,22
2022-01-26,29
2022-01-27,17
2022-01-28,52
2022-01-29,46
2022-01-30,10
2022-01-31,17
2022-02-01,59
2022-02-02,9
2022-02-03,8
2022-02-04,0
2022-02-05,20
2022-02-06,10
2022-02-07,18
2022-02-08,0
2022-02-09,8
2022-02-10,17
2022-02-11,0
2022-02-12,9
2022-02-13,0
2022-02-14,9
2022-02-15,9
2022-02-16,0
2022-02-17,9
2022-02-18,0
