"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DRREDDY","EQ","02-Mar-2020","       2927.10","       2961.00","       2997.25","       2876.00","       2894.50","       2905.55","       2949.45","     888866","          2621669757.75","      53996","     387453","         43.59"
"DRREDDY","EQ","03-Mar-2020","       2905.55","       2940.00","       3078.00","       2931.25","       3065.00","       3043.70","       3008.68","    1056080","          3177409055.65","      69684","     246376","         23.33"
"DRREDDY","EQ","04-Mar-2020","       3043.70","       3065.00","       3186.75","       3036.00","       3169.75","       3171.35","       3128.01","    1832722","          5732771377.85","      92804","     647909","         35.35"
"DRREDDY","EQ","05-Mar-2020","       3171.35","       3171.00","       3231.95","       3166.20","       3172.90","       3184.45","       3203.53","    1045742","          3350069487.00","      61143","     331549","         31.70"
"DRREDDY","EQ","06-Mar-2020","       3184.45","       3085.20","       3206.45","       3085.20","       3157.00","       3170.95","       3166.49","    1125892","          3565122208.40","      81919","     341288","         30.31"
"DRREDDY","EQ","09-Mar-2020","       3170.95","       3158.75","       3189.00","       3026.05","       3063.00","       3061.25","       3088.95","     998533","          3084418734.60","      81225","     472939","         47.36"
"DRREDDY","EQ","11-Mar-2020","       3061.25","       3070.00","       3083.90","       2983.00","       3005.90","       3000.60","       3030.13","    1169141","          3542652807.90","      69892","     637721","         54.55"
"DRREDDY","EQ","12-Mar-2020","       3000.60","       2948.00","       2982.50","       2803.55","       2882.00","       2850.40","       2886.92","     778179","          2246539307.70","      59263","     277048","         35.60"
"DRREDDY","EQ","13-Mar-2020","       2850.40","       2729.95","       3135.40","       2610.00","       2920.00","       2885.10","       2885.51","     986034","          2845207377.90","      83997","     404085","         40.98"
"DRREDDY","EQ","16-Mar-2020","       2885.10","       2790.00","       2980.95","       2760.00","       2825.00","       2826.95","       2868.77","     943080","          2705477392.55","      69102","     357448","         37.90"
"DRREDDY","EQ","17-Mar-2020","       2826.95","       2830.00","       2904.00","       2757.75","       2765.00","       2781.20","       2848.44","     936854","          2668576370.30","      57661","     462191","         49.33"
"DRREDDY","EQ","18-Mar-2020","       2781.20","       2801.80","       2801.80","       2621.05","       2680.90","       2668.45","       2686.27","     873524","          2346520267.40","      75729","     390553","         44.71"
"DRREDDY","EQ","19-Mar-2020","       2668.45","       2608.00","       2679.90","       2495.05","       2619.75","       2623.95","       2597.10","     967602","          2512960393.70","     102422","     431387","         44.58"
"DRREDDY","EQ","20-Mar-2020","       2623.95","       2641.00","       2949.00","       2641.00","       2879.80","       2897.25","       2826.55","    1554571","          4394071901.85","     117736","     679434","         43.71"
"DRREDDY","EQ","23-Mar-2020","       2897.25","       2680.25","       3047.00","       2680.25","       2775.00","       2768.40","       2796.88","     963236","          2694050906.80","      59218","     602528","         62.55"
"DRREDDY","EQ","24-Mar-2020","       2768.40","       2850.00","       2960.00","       2801.10","       2880.00","       2857.95","       2870.76","    1068118","          3066309043.25","      92301","     527403","         49.38"
"DRREDDY","EQ","25-Mar-2020","       2857.95","       2827.25","       2948.90","       2795.70","       2917.00","       2922.00","       2868.20","     819410","          2350230713.40","      77692","     448422","         54.72"
"DRREDDY","EQ","26-Mar-2020","       2922.00","       2975.20","       3066.55","       2879.25","       2940.00","       2948.55","       2969.21","     638995","          1897312727.45","      64439","     224101","         35.07"
"DRREDDY","EQ","27-Mar-2020","       2948.55","       2952.80","       3046.95","       2846.10","       2917.50","       2916.50","       2931.59","     801588","          2349923712.35","      75582","     239694","         29.90"
"DRREDDY","EQ","30-Mar-2020","       2916.50","       2879.60","       3050.00","       2811.00","       2990.10","       2994.25","       2988.10","    1150459","          3437685351.30","      74922","     466633","         40.56"
"DRREDDY","EQ","31-Mar-2020","       2994.25","       3050.00","       3152.00","       3032.05","       3119.00","       3120.75","       3105.31","    1002756","          3113863624.50","      84109","     316911","         31.60"
"DRREDDY","EQ","01-Apr-2020","       3120.75","       3119.95","       3144.00","       3066.00","       3102.00","       3095.00","       3097.23","     711048","          2202279586.80","      67620","     269221","         37.86"
"DRREDDY","EQ","03-Apr-2020","       3095.00","       3085.00","       3218.85","       3025.10","       3146.85","       3146.80","       3143.89","    1173674","          3689904631.75","      95189","     314667","         26.81"
"DRREDDY","EQ","07-Apr-2020","       3146.80","       3250.00","       3615.60","       3210.00","       3599.95","       3583.20","       3476.74","    2367583","          8231477428.40","     141819","     616684","         26.05"
"DRREDDY","EQ","08-Apr-2020","       3583.20","       3525.00","       3765.00","       3471.00","       3697.80","       3683.00","       3674.62","    2522297","          9268483049.65","     178903","     760362","         30.15"
"DRREDDY","EQ","09-Apr-2020","       3683.00","       3740.00","       3810.00","       3593.20","       3603.50","       3621.55","       3711.74","    1960953","          7278550454.10","     124240","     516310","         26.33"
"DRREDDY","EQ","13-Apr-2020","       3621.55","       3694.00","       3856.00","       3607.20","       3759.90","       3746.60","       3777.99","    2322394","          8773977776.70","     151314","     397802","         17.13"
"DRREDDY","EQ","15-Apr-2020","       3746.60","       3825.00","       3893.60","       3776.00","       3805.40","       3807.60","       3843.63","    1725113","          6630697143.10","     123319","     439005","         25.45"
"DRREDDY","EQ","16-Apr-2020","       3807.60","       3806.40","       3890.00","       3780.00","       3848.95","       3860.65","       3846.70","    1465944","          5639046718.00","     104152","     385432","         26.29"
"DRREDDY","EQ","17-Apr-2020","       3860.65","       3970.00","       3997.90","       3823.60","       3940.00","       3929.55","       3912.23","    1814922","          7100392950.45","     157976","     468553","         25.82"
"DRREDDY","EQ","20-Apr-2020","       3929.55","       3923.55","       3924.95","       3810.30","       3840.00","       3844.75","       3864.09","    1498802","          5791507867.70","     127048","     685412","         45.73"
"DRREDDY","EQ","21-Apr-2020","       3844.75","       3835.00","       4047.80","       3822.05","       4013.00","       4016.40","       3984.59","    2847875","         11347608695.30","     181920","     675857","         23.73"
"DRREDDY","EQ","22-Apr-2020","       4016.40","       3989.95","       4094.30","       3961.25","       4046.25","       4056.80","       4051.83","    1783452","          7226251090.80","     128246","     389950","         21.86"
"DRREDDY","EQ","23-Apr-2020","       4056.80","       4031.00","       4086.00","       4009.25","       4030.00","       4027.10","       4053.61","    1025657","          4157617240.00","      63488","     267580","         26.09"
"DRREDDY","EQ","24-Apr-2020","       4027.10","       4010.00","       4049.60","       3970.10","       4000.00","       4002.80","       4005.08","    1266284","          5071564567.60","      79023","     551020","         43.51"
"DRREDDY","EQ","27-Apr-2020","       4002.80","       4002.80","       4065.10","       3955.05","       3979.00","       3980.30","       3994.42","    1124910","          4493361969.55","      86091","     355508","         31.60"
"DRREDDY","EQ","28-Apr-2020","       3980.30","       4030.00","       4036.20","       3892.05","       3943.60","       3949.75","       3940.58","     861168","          3393497740.70","      63912","     269818","         31.33"
"DRREDDY","EQ","29-Apr-2020","       3949.75","       3949.75","       3970.00","       3872.55","       3882.00","       3880.70","       3898.07","    1039646","          4052617789.60","      74163","     490880","         47.22"
"DRREDDY","EQ","30-Apr-2020","       3880.70","       3933.10","       4093.75","       3895.05","       3931.00","       3936.30","       3971.25","    2178034","          8649527322.85","     155606","     543308","         24.94"
"DRREDDY","EQ","04-May-2020","       3936.30","       3850.00","       4006.00","       3848.20","       3920.00","       3939.00","       3956.37","    1415492","          5600206981.70","     108637","     369185","         26.08"
"DRREDDY","EQ","05-May-2020","       3939.00","       3980.00","       3986.35","       3806.00","       3837.00","       3833.90","       3883.68","     795735","          3090381348.40","      54333","     211040","         26.52"
"DRREDDY","EQ","06-May-2020","       3833.90","       3851.00","       3880.00","       3805.05","       3835.00","       3852.50","       3843.50","     955938","          3674144340.10","      80211","     314516","         32.90"
"DRREDDY","EQ","07-May-2020","       3852.50","       3908.90","       3936.55","       3818.55","       3825.00","       3837.65","       3889.66","     916303","          3564110292.25","      55074","     177339","         19.35"
"DRREDDY","EQ","08-May-2020","       3837.65","       3900.10","       4132.20","       3900.10","       3978.00","       3984.00","       3995.52","    2003475","          8004916891.45","     126008","     291662","         14.56"
"DRREDDY","EQ","11-May-2020","       3984.00","       3977.80","       3977.80","       3848.05","       3866.00","       3862.00","       3888.11","    1194988","          4646239571.65","      82622","     218023","         18.24"
"DRREDDY","EQ","12-May-2020","       3862.00","       3863.20","       3909.60","       3759.15","       3785.00","       3773.40","       3803.85","    1078501","          4102450731.65","      75735","     365072","         33.85"
"DRREDDY","EQ","13-May-2020","       3773.40","       3849.00","       3849.00","       3735.10","       3785.55","       3779.60","       3779.41","     878436","          3319967777.30","      58314","     106446","         12.12"
"DRREDDY","EQ","14-May-2020","       3779.60","       3790.00","       3819.95","       3718.60","       3732.05","       3732.00","       3764.85","     897141","          3377599247.95","      59431","     297028","         33.11"
"DRREDDY","EQ","15-May-2020","       3732.00","       3746.00","       3778.90","       3717.05","       3730.00","       3735.10","       3752.45","     899387","          3374905078.20","      72346","     349790","         38.89"
"DRREDDY","EQ","18-May-2020","       3735.10","       3760.15","       3762.55","       3613.85","       3672.00","       3679.15","       3684.21","     990955","          3650886048.90","      70604","     419849","         42.37"
"DRREDDY","EQ","19-May-2020","       3679.15","       3700.15","       3722.00","       3660.10","       3707.80","       3699.60","       3703.86","     935404","          3464609542.20","      72084","     457304","         48.89"
"DRREDDY","EQ","20-May-2020","       3699.60","       3720.90","       3930.00","       3693.15","       3915.05","       3910.20","       3807.72","    4216736","         16056134189.20","     235377","     859865","         20.39"
"DRREDDY","EQ","21-May-2020","       3910.20","       3950.00","       3954.15","       3825.50","       3839.00","       3847.50","       3871.94","    1734433","          6715626809.25","     101877","     408390","         23.55"
"DRREDDY","EQ","22-May-2020","       3847.50","       3840.60","       3910.00","       3811.00","       3886.00","       3892.85","       3863.36","    1010561","          3904158735.50","      64836","     289854","         28.68"
"DRREDDY","EQ","26-May-2020","       3892.85","       3899.00","       3939.00","       3853.45","       3867.00","       3864.30","       3899.21","     827396","          3226193429.60","      55708","     242408","         29.30"
"DRREDDY","EQ","27-May-2020","       3864.30","       3864.75","       3900.00","       3814.00","       3890.95","       3883.00","       3853.68","     861668","          3320592984.60","      69021","     329445","         38.23"
"DRREDDY","EQ","28-May-2020","       3883.00","       3895.00","       3910.80","       3842.50","       3877.45","       3887.75","       3873.43","     792562","          3069936779.10","      53015","     224684","         28.35"
"DRREDDY","EQ","29-May-2020","       3887.75","       3880.00","       4090.70","       3869.30","       4060.00","       4071.25","       4018.76","    1926274","          7741224408.35","     119501","     586307","         30.44"
"DRREDDY","EQ","01-Jun-2020","       4071.25","       4077.60","       4092.35","       3941.05","       3951.50","       3953.55","       3998.69","    1369831","          5477535755.00","      94689","     395957","         28.91"
"DRREDDY","EQ","02-Jun-2020","       3953.55","       3985.00","       4007.30","       3886.00","       3906.00","       3895.30","       3946.80","    1490210","          5881558115.45","      71230","     470344","         31.56"
"DRREDDY","EQ","03-Jun-2020","       3895.30","       3928.80","       3990.00","       3911.25","       3966.00","       3962.40","       3963.09","     738828","          2928039687.45","      50038","     211775","         28.66"
"DRREDDY","EQ","04-Jun-2020","       3962.40","       3959.90","       4057.00","       3956.65","       3995.35","       3998.90","       4011.99","    1199450","          4812180363.10","      83021","     205936","         17.17"
"DRREDDY","EQ","05-Jun-2020","       3998.90","       4019.45","       4050.00","       3992.30","       4025.00","       4024.90","       4030.61","     771006","          3107625603.35","      65450","     258883","         33.58"
"DRREDDY","EQ","08-Jun-2020","       4024.90","       4034.90","       4034.90","       3942.00","       3970.00","       3967.60","       3984.48","     712014","          2837005574.35","      71698","     195776","         27.50"
"DRREDDY","EQ","09-Jun-2020","       3967.60","       3930.00","       4142.00","       3930.00","       4120.00","       4123.80","       4104.91","    2275180","          9339409283.80","     136438","     354195","         15.57"
"DRREDDY","EQ","10-Jun-2020","       4123.80","       4145.00","       4190.00","       4087.70","       4120.00","       4112.50","       4146.96","    1553988","          6444325258.55","     104262","     177365","         11.41"
"DRREDDY","EQ","11-Jun-2020","       4112.50","       4113.00","       4127.95","       4037.00","       4056.25","       4057.60","       4088.48","     827516","          3383282905.80","      73379","     130554","         15.78"
"DRREDDY","EQ","12-Jun-2020","       4057.60","       3992.00","       4036.60","       3981.00","       4006.00","       4007.95","       4007.75","     782308","          3135290978.30","      57567","     269491","         34.45"
"DRREDDY","EQ","15-Jun-2020","       4007.95","       4048.00","       4126.90","       3960.60","       4007.65","       4012.30","       4045.19","    1391915","          5630559191.45","      80522","     197947","         14.22"
"DRREDDY","EQ","16-Jun-2020","       4012.30","       4065.00","       4080.00","       3952.75","       4013.95","       4005.45","       4009.04","     780026","          3127154870.45","      46910","     245301","         31.45"
"DRREDDY","EQ","17-Jun-2020","       4005.45","       4005.45","       4042.75","       3972.00","       3981.05","       3985.20","       3999.01","     637364","          2548827037.55","      47282","     199155","         31.25"
"DRREDDY","EQ","18-Jun-2020","       3985.20","       4010.00","       4052.45","       3992.00","       4010.00","       4007.00","       4023.65","     722877","          2908600881.25","      58005","     131084","         18.13"
"DRREDDY","EQ","19-Jun-2020","       4007.00","       4020.25","       4044.90","       3992.00","       4010.00","       4005.60","       4014.04","     730943","          2934037898.85","      44735","     324616","         44.41"
"DRREDDY","EQ","22-Jun-2020","       4005.60","       4032.00","       4062.50","       4010.90","       4038.00","       4032.85","       4031.83","     531202","          2141716213.60","      31234","     198310","         37.33"
"DRREDDY","EQ","23-Jun-2020","       4032.85","       4047.90","       4130.00","       4040.10","       4102.05","       4108.85","       4097.76","     960083","          3934192873.90","      59249","     190877","         36.76"
"DRREDDY","EQ","24-Jun-2020","       4108.85","       4112.45","       4136.70","       4028.30","       4049.80","       4042.65","       4078.04","     535565","          2184057321.05","      39572","     160420","         29.95"
"DRREDDY","EQ","25-Jun-2020","       4042.65","       4030.00","       4041.00","       3976.55","       4004.45","       4006.60","       4009.07","     753882","          3022362832.75","      49914","     281136","         37.29"
"DRREDDY","EQ","26-Jun-2020","       4006.60","       4015.00","       4065.00","       3965.00","       4004.00","       3998.60","       4007.01","     743912","          2980866435.40","      54415","     256133","         34.43"
"DRREDDY","EQ","29-Jun-2020","       3998.60","       3998.00","       4044.00","       3958.75","       3967.25","       3973.85","       3994.57","     538493","          2151048884.55","      32304","     178926","         33.23"
"DRREDDY","EQ","30-Jun-2020","       3973.85","       4000.00","       4010.90","       3925.50","       3950.25","       3944.95","       3956.77","     680942","          2694330721.60","      57525","     312815","         45.94"
"DRREDDY","EQ","01-Jul-2020","       3944.95","       3965.20","       3966.00","       3885.85","       3915.00","       3911.45","       3912.41","     623565","          2439644985.75","      46598","     199650","         32.02"
