"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GLENMARK","EQ","02-Mar-2020","        277.55","        279.50","        287.50","        271.90","        274.45","        273.80","        279.65","    1503003","           420313134.15","      25728","     425752","         28.33"
"GLENMARK","EQ","03-Mar-2020","        273.80","        275.05","        286.60","        273.45","        285.90","        282.30","        278.03","    1757918","           488758709.40","      27217","     435965","         24.80"
"GLENMARK","EQ","04-Mar-2020","        282.30","        284.80","        292.20","        280.65","        288.25","        289.25","        286.63","    2796184","           801461923.15","      33057","     390515","         13.97"
"GLENMARK","EQ","05-Mar-2020","        289.25","        291.40","        294.90","        286.85","        289.30","        290.60","        290.80","    1745178","           507495994.30","      27821","     454754","         26.06"
"GLENMARK","EQ","06-Mar-2020","        290.60","        278.00","        281.95","        274.70","        279.15","        279.30","        278.44","    1441326","           401324798.25","      34032","     430339","         29.86"
"GLENMARK","EQ","09-Mar-2020","        279.30","        270.15","        274.50","        263.55","        265.45","        265.95","        267.13","    1272942","           340043431.35","      17633","     403313","         31.68"
"GLENMARK","EQ","11-Mar-2020","        265.95","        266.00","        274.00","        256.50","        259.30","        258.90","        261.17","    1327168","           346617887.90","      22480","     297644","         22.43"
"GLENMARK","EQ","12-Mar-2020","        258.90","        249.95","        250.00","        196.20","        199.55","        199.20","        210.43","    8286752","          1743820232.65","      84742","    2271340","         27.41"
"GLENMARK","EQ","13-Mar-2020","        199.20","        181.00","        217.30","        161.65","        210.95","        209.60","        192.39","    6749494","          1298543475.10","     112845","    1799752","         26.66"
"GLENMARK","EQ","16-Mar-2020","        209.60","        203.00","        245.00","        195.00","        215.20","        217.80","        226.33","    7255086","          1642062971.20","     115767","    1210953","         16.69"
"GLENMARK","EQ","17-Mar-2020","        217.80","        217.90","        224.00","        205.00","        205.00","        206.50","        215.77","    3615778","           780179208.45","      71786","    1020093","         28.21"
"GLENMARK","EQ","18-Mar-2020","        206.50","        211.70","        220.75","        195.00","        202.80","        198.70","        211.06","    4452514","           939768015.55","      61789","     967419","         21.73"
"GLENMARK","EQ","19-Mar-2020","        198.70","        196.10","        211.00","        185.35","        208.35","        204.95","        201.09","    2977906","           598839028.05","      36068","     593565","         19.93"
"GLENMARK","EQ","20-Mar-2020","        204.95","        207.25","        218.85","        204.10","        210.00","        211.70","        210.94","    4262062","           899058852.65","      56097","    1220843","         28.64"
"GLENMARK","EQ","23-Mar-2020","        211.70","        196.00","        207.95","        184.45","        190.00","        188.10","        193.37","    1570780","           303738796.00","      26766","     584911","         37.24"
"GLENMARK","EQ","24-Mar-2020","        188.10","        204.00","        204.95","        188.00","        190.00","        190.60","        195.17","    2270296","           443091728.05","      30246","     580659","         25.58"
"GLENMARK","EQ","25-Mar-2020","        190.60","        190.00","        196.80","        187.35","        192.80","        191.55","        191.97","    1812622","           347964306.35","      35752","     500277","         27.60"
"GLENMARK","EQ","26-Mar-2020","        191.55","        195.00","        216.35","        192.00","        209.10","        208.20","        206.56","    2970736","           613636902.85","      40976","     714452","         24.05"
"GLENMARK","EQ","27-Mar-2020","        208.20","        210.75","        216.20","        197.05","        198.70","        199.15","        206.21","    2312550","           476859521.35","      49818","     695335","         30.07"
"GLENMARK","EQ","30-Mar-2020","        199.15","        197.00","        199.55","        190.00","        195.25","        195.75","        195.59","    1365568","           267097486.05","      21242","     294618","         21.57"
"GLENMARK","EQ","31-Mar-2020","        195.75","        199.00","        208.00","        197.00","        205.00","        205.85","        203.31","    1545954","           314308477.85","      24798","     450169","         29.12"
"GLENMARK","EQ","01-Apr-2020","        205.85","        206.10","        213.70","        200.50","        203.90","        203.85","        206.88","    2367599","           489805729.45","      32327","     679273","         28.69"
"GLENMARK","EQ","03-Apr-2020","        203.85","        201.55","        219.50","        195.80","        213.00","        213.05","        213.33","    4511917","           962515939.05","      60791","     754233","         16.72"
"GLENMARK","EQ","07-Apr-2020","        213.05","        233.00","        233.75","        217.00","        228.00","        227.95","        228.81","    4749554","          1086759872.85","      61114","    1019377","         21.46"
"GLENMARK","EQ","08-Apr-2020","        227.95","        229.30","        244.20","        225.05","        234.25","        233.60","        235.65","    4713905","          1110835690.65","      70688","    1073563","         22.77"
"GLENMARK","EQ","09-Apr-2020","        233.60","        242.90","        250.75","        238.25","        249.35","        247.65","        245.03","    5003936","          1226109894.05","      74659","    1345520","         26.89"
"GLENMARK","EQ","13-Apr-2020","        247.65","        258.90","        308.00","        253.00","        307.55","        299.10","        286.23","   18480604","          5289724851.60","     237619","    1936364","         10.48"
"GLENMARK","EQ","15-Apr-2020","        299.10","        329.00","        342.50","        309.20","        324.00","        319.75","        327.99","   21789838","          7146940496.35","     293001","    3046629","         13.98"
"GLENMARK","EQ","16-Apr-2020","        319.75","        324.00","        326.80","        311.00","        319.50","        320.10","        318.46","    8576013","          2731148200.50","     100876","    1320690","         15.40"
"GLENMARK","EQ","17-Apr-2020","        320.10","        330.10","        331.75","        312.00","        315.50","        314.45","        317.70","    6631166","          2106721461.85","      69364","    1448685","         21.85"
"GLENMARK","EQ","20-Apr-2020","        314.45","        315.15","        325.50","        306.00","        312.95","        314.05","        316.66","    4512316","          1428885829.45","      65255","     872237","         19.33"
"GLENMARK","EQ","21-Apr-2020","        314.05","        307.80","        329.55","        304.50","        314.45","        315.40","        320.34","    9106077","          2917010570.45","     117788","    1326813","         14.57"
"GLENMARK","EQ","22-Apr-2020","        315.40","        317.00","        329.90","        312.75","        319.00","        318.20","        322.12","    7429527","          2393222913.40","      90798","    1057944","         14.24"
"GLENMARK","EQ","23-Apr-2020","        318.20","        321.00","        350.00","        320.85","        341.20","        340.20","        341.72","   19683317","          6726199985.40","     241460","    2666618","         13.55"
"GLENMARK","EQ","24-Apr-2020","        340.20","        342.70","        360.95","        342.00","        346.00","        344.85","        352.12","   17702680","          6233483038.75","     223781","    2005595","         11.33"
"GLENMARK","EQ","27-Apr-2020","        344.85","        352.00","        355.45","        340.50","        342.85","        342.10","        346.33","    6288958","          2178081909.35","      80586","    1025863","         16.31"
"GLENMARK","EQ","28-Apr-2020","        342.10","        347.10","        347.10","        326.00","        328.40","        327.75","        331.03","    5188040","          1717390848.80","      77095","    1337924","         25.79"
"GLENMARK","EQ","29-Apr-2020","        327.75","        327.75","        335.50","        325.50","        329.65","        329.70","        330.96","    3458501","          1144622688.60","      49722","     574267","         16.60"
"GLENMARK","EQ","30-Apr-2020","        329.70","        354.00","        359.00","        335.80","        337.50","        337.05","        345.83","   11120364","          3845741485.30","     160824","    2063125","         18.55"
"GLENMARK","EQ","04-May-2020","        337.05","        337.50","        347.30","        330.00","        339.00","        337.35","        340.80","    8534892","          2908655606.40","     139999","    1032569","         12.10"
"GLENMARK","EQ","05-May-2020","        337.35","        346.00","        346.00","        322.90","        325.00","        324.80","        333.93","    4686125","          1564827927.50","      64317","     940821","         20.08"
"GLENMARK","EQ","06-May-2020","        324.80","        326.40","        339.55","        325.10","        336.00","        334.70","        332.36","    4634569","          1540366768.05","      57039","     899451","         19.41"
"GLENMARK","EQ","07-May-2020","        334.70","        336.00","        344.00","        333.05","        336.45","        336.20","        339.22","    3739422","          1268480273.35","      45964","     825178","         22.07"
"GLENMARK","EQ","08-May-2020","        336.20","        339.00","        343.70","        332.80","        335.00","        333.75","        338.43","    2748715","           930256163.60","      33256","     700977","         25.50"
"GLENMARK","EQ","11-May-2020","        333.75","        338.00","        339.65","        329.05","        336.50","        335.20","        334.93","    2928897","           980969370.85","      44594","     460952","         15.74"
"GLENMARK","EQ","12-May-2020","        335.20","        336.40","        342.95","        329.55","        333.10","        332.15","        334.47","    3147540","          1052763888.45","      41928","     566411","         18.00"
"GLENMARK","EQ","13-May-2020","        332.15","        342.00","        342.00","        334.55","        337.50","        336.85","        337.59","    2759040","           931421070.85","      35397","     581016","         21.06"
"GLENMARK","EQ","14-May-2020","        336.85","        336.50","        351.90","        333.10","        346.75","        346.45","        346.69","    6787422","          2353121569.50","      89648","    1299151","         19.14"
"GLENMARK","EQ","15-May-2020","        346.45","        350.00","        353.75","        336.00","        338.75","        339.65","        343.91","    6867586","          2361854773.55","      84981","     930867","         13.55"
"GLENMARK","EQ","18-May-2020","        339.65","        341.00","        341.00","        325.55","        329.20","        327.20","        331.66","    2729565","           905290387.05","      34283","     488490","         17.90"
"GLENMARK","EQ","19-May-2020","        327.20","        331.50","        338.40","        328.60","        333.10","        332.35","        333.93","    2926620","           977294174.85","      47786","     505812","         17.28"
"GLENMARK","EQ","20-May-2020","        332.35","        333.10","        350.00","        331.45","        349.70","        343.70","        338.72","    2539368","           860132586.90","      33265","     726611","         28.61"
"GLENMARK","EQ","21-May-2020","        343.70","        347.90","        354.45","        345.05","        348.85","        350.15","        349.49","    4531260","          1583623110.30","      60618","     986655","         21.77"
"GLENMARK","EQ","22-May-2020","        350.15","        347.00","        363.60","        345.00","        351.30","        352.00","        356.66","    7839018","          2795883185.90","      95604","    2068696","         26.39"
"GLENMARK","EQ","26-May-2020","        352.00","        356.90","        360.50","        345.00","        347.35","        348.20","        352.61","    5183869","          1827875171.80","      94763","    1051727","         20.29"
"GLENMARK","EQ","27-May-2020","        348.20","        350.90","        353.00","        344.05","        349.00","        349.00","        348.93","    3046925","          1063173270.90","      48787","     720186","         23.64"
"GLENMARK","EQ","28-May-2020","        349.00","        349.05","        351.65","        341.50","        343.70","        343.20","        345.22","    2584786","           892330992.00","      42471","     670014","         25.92"
"GLENMARK","EQ","29-May-2020","        343.20","        344.40","        358.45","        343.45","        354.40","        355.05","        354.54","    6281360","          2226979239.35","      76849","    1845641","         29.38"
"GLENMARK","EQ","01-Jun-2020","        355.05","        358.00","        374.00","        356.25","        368.55","        368.75","        366.08","    7892141","          2889127633.80","     124040","    1387490","         17.58"
"GLENMARK","EQ","02-Jun-2020","        368.75","        373.00","        393.45","        372.10","        389.00","        388.70","        387.27","   10222172","          3958735500.70","     131990","    1214347","         11.88"
"GLENMARK","EQ","03-Jun-2020","        388.70","        395.00","        398.25","        388.00","        390.00","        390.15","        393.24","    3661751","          1439951576.65","      51231","     669978","         18.30"
"GLENMARK","EQ","04-Jun-2020","        390.15","        391.40","        403.90","        388.50","        397.00","        395.65","        396.98","    4296944","          1705805123.75","      71369","     567701","         13.21"
"GLENMARK","EQ","05-Jun-2020","        395.65","        400.00","        413.95","        398.80","        402.50","        402.55","        405.67","    5645040","          2290049031.00","      98422","     714001","         12.65"
"GLENMARK","EQ","08-Jun-2020","        402.55","        405.95","        407.25","        394.00","        400.60","        399.75","        402.01","    3186873","          1281159575.80","      45932","     572988","         17.98"
"GLENMARK","EQ","09-Jun-2020","        399.75","        400.60","        412.80","        396.95","        402.50","        401.80","        406.61","    5100486","          2073925882.20","      66330","    1049440","         20.58"
"GLENMARK","EQ","10-Jun-2020","        401.80","        404.85","        407.40","        399.45","        402.50","        401.45","        403.44","    2837517","          1144760472.55","      36330","     600358","         21.16"
"GLENMARK","EQ","11-Jun-2020","        401.45","        395.25","        406.95","        381.55","        387.90","        384.45","        395.79","    3709098","          1468014935.75","      62892","    1105736","         29.81"
"GLENMARK","EQ","12-Jun-2020","        384.45","        371.00","        406.00","        371.00","        404.00","        403.85","        393.16","    5516157","          2168739679.55","      65197","    1065108","         19.31"
"GLENMARK","EQ","15-Jun-2020","        403.85","        404.00","        408.50","        393.00","        395.20","        395.35","        400.20","    3273486","          1310050465.75","      57389","     713332","         21.79"
"GLENMARK","EQ","16-Jun-2020","        395.35","        398.00","        404.50","        387.05","        393.90","        393.10","        397.40","    2683743","          1066529786.00","      35355","     452580","         16.86"
"GLENMARK","EQ","17-Jun-2020","        393.10","        395.00","        402.85","        393.10","        399.85","        398.60","        396.94","    3331439","          1322397359.70","      63952","     292262","          8.77"
"GLENMARK","EQ","18-Jun-2020","        398.60","        400.00","        410.00","        398.00","        406.20","        405.65","        406.72","    5132690","          2087569199.00","      87723","     629650","         12.27"
"GLENMARK","EQ","19-Jun-2020","        405.65","        410.00","        417.00","        407.70","        410.40","        409.35","        412.53","    4871849","          2009764383.90","      60449","     771956","         15.85"
"GLENMARK","EQ","22-Jun-2020","        409.35","        450.25","        573.05","        450.25","        525.00","        519.75","        528.97","   89266592","         47219720824.85","    1151951","   15581503","         17.46"
"GLENMARK","EQ","23-Jun-2020","        519.75","        550.00","        550.00","        475.25","        485.25","        485.00","        496.82","   65123688","         32354511837.40","     775164","    7764340","         17.69"
"GLENMARK","EQ","24-Jun-2020","        485.00","        475.25","        477.30","        453.30","        457.75","        459.20","        465.43","   24559370","         11430627015.00","     297198","    2777968","         11.31"
"GLENMARK","EQ","25-Jun-2020","        459.20","        450.00","        469.90","        434.00","        460.00","        458.10","        457.05","   17248254","          7883319742.15","     224821","    1812449","         10.51"
"GLENMARK","EQ","26-Jun-2020","        458.10","        465.00","        477.75","        461.55","        466.25","        466.70","        469.54","   11105234","          5214390068.00","     154177","    1586653","         14.29"
"GLENMARK","EQ","29-Jun-2020","        466.70","        474.90","        484.70","        465.10","        468.50","        467.80","        474.62","   14878964","          7061787542.40","     174405","    2329954","         15.66"
"GLENMARK","EQ","30-Jun-2020","        467.80","        462.00","        464.80","        446.10","        448.95","        450.30","        452.29","   10571534","          4781451134.85","     162366","    1806714","         17.09"
"GLENMARK","EQ","01-Jul-2020","        450.30","        445.00","        445.00","        423.90","        434.00","        435.20","        432.54","   21051292","          9105584740.45","     257821","    2891887","         13.74"
"GLENMARK","EQ","02-Jul-2020","        435.20","        433.00","        442.20","        428.10","        434.80","        435.25","        436.52","    6183769","          2699321561.45","      82406","     873323","         14.12"
"GLENMARK","EQ","03-Jul-2020","        435.25","        436.10","        439.50","        430.50","        431.30","        432.70","        433.30","    3320448","          1438739404.90","      56862","     821149","         24.73"
"GLENMARK","EQ","06-Jul-2020","        432.70","        433.00","        436.00","        426.60","        427.90","        428.00","        429.14","    2823105","          1211494362.15","      54439","     837920","         29.68"
"GLENMARK","EQ","07-Jul-2020","        428.00","        427.00","        427.00","        415.00","        415.90","        416.50","        419.84","    4590954","          1927452667.45","      94770","    1809174","         39.41"
"GLENMARK","EQ","08-Jul-2020","        416.50","        415.50","        425.00","        415.15","        421.20","        419.35","        421.47","    3660105","          1542623396.60","      72047","    1165693","         31.85"
"GLENMARK","EQ","09-Jul-2020","        419.35","        423.00","        434.45","        420.45","        432.40","        431.95","        429.89","    5093454","          2189645810.80","      82906","    1311899","         25.76"
"GLENMARK","EQ","10-Jul-2020","        431.95","        432.25","        439.35","        424.95","        425.90","        426.65","        432.61","    3395204","          1468805204.10","      63192","     816991","         24.06"
"GLENMARK","EQ","13-Jul-2020","        426.65","        428.90","        432.00","        413.50","        414.00","        415.50","        420.29","    3109961","          1307084787.95","      68253","    1300620","         41.82"
"GLENMARK","EQ","14-Jul-2020","        415.50","        416.95","        420.25","        405.00","        409.30","        407.10","        411.52","    4463336","          1836771735.30","     107093","    1685154","         37.76"
"GLENMARK","EQ","15-Jul-2020","        407.10","        415.00","        423.00","        411.00","        416.10","        415.80","        418.57","    6415482","          2685296418.90","      77093","    1543066","         24.05"
"GLENMARK","EQ","16-Jul-2020","        415.80","        416.90","        424.80","        412.20","        424.70","        422.55","        419.12","    4249014","          1780847092.80","      59512","     891722","         20.99"
"GLENMARK","EQ","17-Jul-2020","        422.55","        426.00","        435.80","        424.60","        429.35","        429.75","        430.12","    5644831","          2427976832.85","      79468","    1035242","         18.34"
"GLENMARK","EQ","20-Jul-2020","        429.75","        411.00","        421.55","        405.00","        420.60","        418.65","        415.74","    4749123","          1974392200.40","      77278","     979352","         20.62"
"GLENMARK","EQ","21-Jul-2020","        418.65","        422.50","        426.60","        412.35","        414.45","        414.15","        417.37","    2871119","          1198314400.25","      47972","    1425919","         49.66"
"GLENMARK","EQ","22-Jul-2020","        414.15","        416.00","        419.95","        411.40","        413.80","        413.70","        415.25","    1787801","           742384147.75","      29545","     509398","         28.49"
"GLENMARK","EQ","23-Jul-2020","        413.70","        424.00","        430.70","        420.50","        421.20","        421.45","        424.40","    4635069","          1967116830.40","      69140","     943717","         20.36"
"GLENMARK","EQ","24-Jul-2020","        421.45","        422.00","        430.00","        418.20","        424.60","        425.20","        423.26","    3690542","          1562075133.70","      65099","    1027345","         27.84"
