"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LAURUSLABS","EQ","02-Mar-2020","        413.55","        416.15","        425.45","        411.00","        417.55","        416.20","        419.14","      90639","            37990114.45","       3922","      53802","         59.36"
"LAURUSLABS","EQ","03-Mar-2020","        416.20","        425.90","        429.20","        412.00","        416.95","        417.80","        420.68","      87589","            36846860.95","       6506","      60613","         69.20"
"LAURUSLABS","EQ","04-Mar-2020","        417.80","        426.90","        428.90","        411.20","        422.60","        419.30","        416.89","     124497","            51901504.80","       4120","      81348","         65.34"
"LAURUSLABS","EQ","05-Mar-2020","        419.30","        427.00","        437.80","        418.00","        425.00","        421.80","        425.92","     162204","            69086332.10","       5195","      83464","         51.46"
"LAURUSLABS","EQ","06-Mar-2020","        421.80","        410.00","        420.00","        402.65","        418.50","        418.90","        413.52","      54263","            22438766.15","       1904","      34990","         64.48"
"LAURUSLABS","EQ","09-Mar-2020","        418.90","        418.90","        419.95","        391.00","        401.00","        401.50","        403.17","     141534","            57062744.00","       3825","      97990","         69.23"
"LAURUSLABS","EQ","11-Mar-2020","        401.50","        400.00","        416.50","        398.00","        413.40","        412.90","        409.34","      59862","            24503639.65","       5770","      37119","         62.01"
"LAURUSLABS","EQ","12-Mar-2020","        412.90","        409.00","        409.00","        361.85","        370.40","        365.55","        379.08","     121034","            45880979.65","       4657","      79211","         65.45"
"LAURUSLABS","EQ","13-Mar-2020","        365.55","        337.00","        391.75","        295.00","        374.60","        373.45","        366.87","     109164","            40049384.30","       5947","      58951","         54.00"
"LAURUSLABS","EQ","16-Mar-2020","        373.45","        368.00","        394.65","        353.85","        376.00","        377.95","        382.32","      81105","            31007826.20","       8490","      41559","         51.24"
"LAURUSLABS","EQ","17-Mar-2020","        377.95","        377.00","        389.00","        365.95","        374.75","        373.60","        376.35","      76619","            28835567.15","       3893","      28112","         36.69"
"LAURUSLABS","EQ","18-Mar-2020","        373.60","        375.40","        381.60","        345.00","        348.00","        348.25","        353.24","      77406","            27342864.10","       3899","      58685","         75.81"
"LAURUSLABS","EQ","19-Mar-2020","        348.25","        347.75","        363.55","        316.85","        350.20","        352.40","        334.82","      95955","            32127876.70","       3473","      55931","         58.29"
"LAURUSLABS","EQ","20-Mar-2020","        352.40","        355.00","        382.00","        354.65","        364.50","        363.05","        368.30","      83278","            30671524.25","       4960","      36033","         43.27"
"LAURUSLABS","EQ","23-Mar-2020","        363.05","        355.00","        355.00","        317.95","        321.55","        320.40","        328.36","      61576","            20219086.85","       1877","      39497","         64.14"
"LAURUSLABS","EQ","24-Mar-2020","        320.40","        322.05","        339.60","        305.10","        318.00","        315.95","        316.60","      50044","            15844004.90","       1681","      26960","         53.87"
"LAURUSLABS","EQ","25-Mar-2020","        315.95","        315.80","        332.00","        314.05","        325.00","        325.10","        322.39","      75620","            24378772.85","       2139","      47192","         62.41"
"LAURUSLABS","EQ","26-Mar-2020","        325.10","        326.45","        345.00","        318.05","        340.00","        341.90","        338.88","      48311","            16371701.35","       1386","      33207","         68.74"
"LAURUSLABS","EQ","27-Mar-2020","        341.90","        342.10","        352.75","        324.00","        327.00","        326.75","        335.42","     109620","            36769042.50","       3247","      81584","         74.42"
"LAURUSLABS","EQ","30-Mar-2020","        326.75","        338.90","        340.00","        318.00","        323.05","        319.70","        325.79","      91811","            29911451.60","       3752","      59427","         64.73"
"LAURUSLABS","EQ","31-Mar-2020","        319.70","        331.90","        335.45","        314.70","        326.90","        324.80","        328.18","     135687","            44530411.25","       6321","      92037","         67.83"
"LAURUSLABS","EQ","01-Apr-2020","        324.80","        328.00","        330.00","        321.00","        321.60","        323.70","        326.08","      49103","            16011748.85","       2904","      26474","         53.92"
"LAURUSLABS","EQ","03-Apr-2020","        323.70","        328.40","        352.95","        316.05","        345.75","        342.15","        339.12","     175186","            59409019.95","       7662","      47745","         27.25"
"LAURUSLABS","EQ","07-Apr-2020","        342.15","        375.00","        410.55","        359.25","        385.00","        392.35","        391.18","     585631","           229089110.60","      17433","     288148","         49.20"
"LAURUSLABS","EQ","08-Apr-2020","        392.35","        406.00","        424.45","        386.00","        391.00","        391.90","        407.88","     319928","           130492235.10","      14987","     161778","         50.57"
"LAURUSLABS","EQ","09-Apr-2020","        391.90","        410.00","        421.00","        402.15","        410.00","        411.65","        411.62","     272660","           112231055.35","      12838","     123627","         45.34"
"LAURUSLABS","EQ","13-Apr-2020","        411.65","        428.00","        434.00","        400.15","        408.50","        405.35","        416.07","     594515","           247362688.40","      12056","     318193","         53.52"
"LAURUSLABS","EQ","15-Apr-2020","        405.35","        416.00","        419.00","        399.05","        399.25","        401.20","        409.77","     312671","           128122306.25","      20335","     191557","         61.26"
"LAURUSLABS","EQ","16-Apr-2020","        401.20","        401.20","        402.90","        390.55","        402.00","        399.35","        395.63","     323993","           128181939.05","      12979","     186277","         57.49"
"LAURUSLABS","EQ","17-Apr-2020","        399.35","        416.00","        420.00","        402.00","        405.40","        404.35","        410.09","     339242","           139120013.45","      10070","     162286","         47.84"
"LAURUSLABS","EQ","20-Apr-2020","        404.35","        406.15","        413.80","        406.15","        407.00","        408.35","        409.33","     239492","            98030305.75","       7969","     152650","         63.74"
"LAURUSLABS","EQ","21-Apr-2020","        408.35","        404.00","        474.00","        401.00","        453.00","        455.80","        443.70","    1795126","           796495379.25","      46966","     439466","         24.48"
"LAURUSLABS","EQ","22-Apr-2020","        455.80","        468.40","        494.00","        460.35","        469.90","        468.80","        476.00","    1415027","           673550537.15","      47685","     336930","         23.81"
"LAURUSLABS","EQ","23-Apr-2020","        468.80","        478.00","        479.75","        465.00","        468.00","        468.15","        470.99","     361625","           170322265.75","      12539","     148002","         40.93"
"LAURUSLABS","EQ","24-Apr-2020","        468.15","        466.00","        513.20","        458.00","        496.00","        494.80","        494.76","    1575439","           779470969.05","      40746","     327765","         20.80"
"LAURUSLABS","EQ","27-Apr-2020","        494.80","        509.80","        525.00","        507.00","        523.00","        517.95","        517.51","     906087","           468912492.55","      22605","     387336","         42.75"
"LAURUSLABS","EQ","28-Apr-2020","        517.95","        529.90","        536.00","        510.15","        524.00","        526.30","        523.96","     650341","           340749730.85","      19100","     228996","         35.21"
"LAURUSLABS","EQ","29-Apr-2020","        526.30","        527.90","        534.00","        513.00","        515.50","        515.15","        519.76","     540925","           281150470.00","      15475","     295600","         54.65"
"LAURUSLABS","EQ","30-Apr-2020","        515.15","        521.00","        522.15","        500.10","        511.00","        512.50","        511.69","    1691027","           865285069.90","      34662","     805755","         47.65"
"LAURUSLABS","EQ","04-May-2020","        512.50","        512.00","        525.00","        482.40","        494.25","        489.70","        505.71","    2769429","          1400538040.55","      65038","    1115459","         40.28"
"LAURUSLABS","EQ","05-May-2020","        489.70","        500.80","        511.70","        486.75","        493.30","        493.70","        499.80","    1083664","           541615343.70","      24833","     366876","         33.86"
"LAURUSLABS","EQ","06-May-2020","        493.70","        499.00","        514.50","        481.05","        504.50","        506.40","        497.94","    1477058","           735480828.45","      48103","     527690","         35.73"
"LAURUSLABS","EQ","07-May-2020","        506.40","        504.00","        518.00","        484.00","        484.50","        488.80","        503.15","    1117513","           562273772.60","      28863","     420526","         37.63"
"LAURUSLABS","EQ","08-May-2020","        488.80","        468.00","        488.55","        435.00","        440.75","        440.75","        450.27","   23138588","         10418707832.90","     200016","    8248224","         35.65"
