"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"STAR","EQ","02-Mar-2020","        470.15","        478.00","        484.00","        429.00","        430.90","        438.00","        461.76","     220989","           102043583.40","       8025","      58305","         26.38"
"STAR","EQ","03-Mar-2020","        438.00","        444.00","        474.00","        441.05","        470.00","        465.85","        458.27","     539768","           247356960.95","      18063","     102024","         18.90"
"STAR","EQ","04-Mar-2020","        465.85","        470.00","        484.90","        458.00","        462.45","        464.10","        471.75","     516082","           243463145.25","      15766","      64447","         12.49"
"STAR","EQ","05-Mar-2020","        464.10","        468.50","        475.00","        456.30","        458.00","        460.30","        469.20","     268662","           126055749.45","       8741","      49963","         18.60"
"STAR","EQ","06-Mar-2020","        460.30","        457.00","        470.00","        436.95","        467.75","        462.85","        460.93","     461068","           212520684.65","      13886","     118236","         25.64"
"STAR","EQ","09-Mar-2020","        462.85","        446.00","        465.45","        439.00","        443.00","        444.55","        452.18","     308774","           139622149.35","       9717","      93578","         30.31"
"STAR","EQ","11-Mar-2020","        444.55","        443.90","        469.00","        443.65","        463.65","        461.05","        454.75","     408997","           185991754.05","      11290","     222279","         54.35"
"STAR","EQ","12-Mar-2020","        461.05","        420.00","        447.80","        371.00","        399.10","        401.65","        412.57","     523492","           215976030.40","      17100","     172740","         33.00"
"STAR","EQ","13-Mar-2020","        401.65","        350.00","        419.95","        331.00","        403.00","        400.55","        400.25","     571480","           228735285.45","      13089","     313787","         54.91"
"STAR","EQ","16-Mar-2020","        400.55","        373.00","        400.45","        334.50","        338.00","        338.35","        367.71","     523806","           192608603.30","      27064","     180110","         34.38"
"STAR","EQ","17-Mar-2020","        338.35","        342.50","        350.50","        317.00","        320.60","        322.30","        339.16","     443051","           150264304.25","      15228","     101265","         22.86"
"STAR","EQ","18-Mar-2020","        322.30","        330.00","        336.75","        300.65","        301.00","        303.45","        313.01","     327888","           102633779.85","      12135","      93450","         28.50"
"STAR","EQ","19-Mar-2020","        303.45","        290.50","        303.45","        273.15","        273.15","        276.80","        289.34","     493293","           142731032.50","      15515","     152717","         30.96"
"STAR","EQ","20-Mar-2020","        276.80","        269.50","        304.45","        268.00","        304.45","        304.45","        295.35","     622726","           183920901.50","      26230","     265331","         42.61"
"STAR","EQ","23-Mar-2020","        304.45","        289.95","        296.95","        274.05","        274.05","        274.05","        279.97","     159237","            44582029.65","       5142","      93348","         58.62"
"STAR","EQ","24-Mar-2020","        274.05","        288.00","        301.45","        285.45","        300.35","        300.40","        294.69","     234955","            69238099.75","       9641","     143006","         60.87"
"STAR","EQ","25-Mar-2020","        300.40","        295.00","        329.00","        284.00","        325.00","        320.85","        312.83","     216289","            67661027.55","       9169","     118348","         54.72"
"STAR","EQ","26-Mar-2020","        320.85","        344.00","        344.00","        310.00","        311.90","        314.30","        325.74","     390641","           127247791.20","      18769","     163517","         41.86"
"STAR","EQ","27-Mar-2020","        314.30","        320.00","        328.00","        299.60","        309.60","        308.25","        310.80","     200323","            62259921.35","       6725","      89796","         44.83"
"STAR","EQ","30-Mar-2020","        308.25","        315.60","        319.80","        310.00","        315.10","        316.05","        315.31","     180478","            56906210.70","       5018","      62804","         34.80"
"STAR","EQ","31-Mar-2020","        316.05","        323.00","        325.00","        313.50","        322.50","        322.15","        321.23","     145909","            46870979.20","       5129","      87915","         60.25"
"STAR","EQ","01-Apr-2020","        322.15","        324.90","        351.70","        318.00","        322.05","        326.45","        332.03","     609564","           202396179.00","      16374","     239384","         39.27"
"STAR","EQ","03-Apr-2020","        326.45","        310.05","        320.00","        303.20","        306.50","        306.95","        310.71","     454175","           141114794.10","      16551","     123608","         27.22"
"STAR","EQ","07-Apr-2020","        306.95","        316.00","        326.25","        313.00","        318.45","        317.80","        318.76","     935578","           298227228.10","      35905","     481775","         51.49"
"STAR","EQ","08-Apr-2020","        317.80","        320.00","        342.60","        319.15","        323.55","        324.10","        329.99","     636892","           210171135.60","      25159","     222228","         34.89"
"STAR","EQ","09-Apr-2020","        324.10","        330.00","        340.00","        324.50","        326.00","        328.40","        331.99","     828898","           275185104.35","      23796","     377591","         45.55"
"STAR","EQ","13-Apr-2020","        328.40","        330.00","        363.55","        326.30","        342.80","        343.10","        349.41","    1466593","           512434972.65","      31041","     346119","         23.60"
"STAR","EQ","15-Apr-2020","        343.10","        361.00","        363.85","        330.55","        338.00","        337.20","        350.09","     734997","           257317838.05","      25176","     269555","         36.67"
"STAR","EQ","16-Apr-2020","        337.20","        337.90","        349.70","        336.45","        347.05","        346.15","        345.12","     545513","           188266713.75","      18824","     208997","         38.31"
"STAR","EQ","17-Apr-2020","        346.15","        352.90","        353.90","        337.30","        342.55","        344.80","        344.63","     414058","           142697211.85","      15092","     135172","         32.65"
"STAR","EQ","20-Apr-2020","        344.80","        347.80","        349.40","        337.00","        338.30","        339.30","        340.80","     471330","           160628320.50","      19554","     211992","         44.98"
"STAR","EQ","21-Apr-2020","        339.30","        338.00","        344.00","        322.00","        322.25","        324.65","        332.73","    1200283","           399369493.65","      36033","     495611","         41.29"
"STAR","EQ","22-Apr-2020","        324.65","        325.90","        337.90","        324.00","        334.80","        334.35","        333.23","     524361","           174733177.95","      17570","     187976","         35.85"
"STAR","EQ","23-Apr-2020","        334.35","        337.00","        356.95","        336.15","        347.50","        347.65","        349.21","     736480","           257189231.50","      21075","     276468","         37.54"
"STAR","EQ","24-Apr-2020","        347.65","        344.75","        396.90","        340.40","        376.20","        377.20","        379.15","    2473366","           937786919.85","      48911","     347663","         14.06"
"STAR","EQ","27-Apr-2020","        377.20","        382.00","        395.00","        378.25","        382.90","        382.15","        386.15","     599446","           231473275.25","      15551","     166513","         27.78"
"STAR","EQ","28-Apr-2020","        382.15","        388.70","        388.70","        372.55","        374.50","        374.70","        376.76","     407794","           153641331.90","      17615","     156961","         38.49"
"STAR","EQ","29-Apr-2020","        374.70","        382.00","        449.60","        382.00","        449.60","        449.60","        428.98","    4137979","          1775109321.80","      69867","     895228","         21.63"
"STAR","EQ","30-Apr-2020","        449.60","        489.90","        506.30","        435.00","        437.00","        442.45","        470.92","    5154052","          2427124841.50","     101807","    1479805","         28.71"
"STAR","EQ","04-May-2020","        442.45","        429.70","        469.00","        416.40","        439.30","        437.70","        448.76","    2696657","          1210148581.40","      59531","     483334","         17.92"
"STAR","EQ","05-May-2020","        437.70","        447.70","        454.20","        418.00","        421.00","        420.75","        433.48","     878801","           380945681.05","      23954","     203264","         23.13"
"STAR","EQ","06-May-2020","        420.75","        424.00","        426.75","        407.00","        411.00","        412.55","        414.56","     773144","           320516128.10","      21782","     143139","         18.51"
