"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNPHARMA","EQ","02-Mar-2020","        372.90","        378.00","        383.65","        363.35","        372.05","        369.50","        376.87","    6915567","          2606303340.80","      72067","    2742894","         39.66"
"SUNPHARMA","EQ","03-Mar-2020","        369.50","        374.00","        396.40","        373.25","        396.00","        393.55","        386.86","   14474553","          5599644850.65","     167409","    5469999","         37.79"
"SUNPHARMA","EQ","04-Mar-2020","        393.55","        398.00","        412.90","        387.35","        404.50","        405.45","        403.52","   26369149","         10640594992.05","     271057","    3273035","         12.41"
"SUNPHARMA","EQ","05-Mar-2020","        405.45","        409.95","        414.80","        401.75","        404.50","        404.90","        408.26","    9874059","          4031203675.50","     106590","    1526528","         15.46"
"SUNPHARMA","EQ","06-Mar-2020","        404.90","        390.05","        403.20","        390.05","        400.10","        400.90","        398.45","    6500912","          2590277927.25","      81949","    1532372","         23.57"
"SUNPHARMA","EQ","09-Mar-2020","        400.90","        396.05","        403.90","        385.55","        393.00","        393.35","        394.67","   13152861","          5191013676.80","     101814","    2837377","         21.57"
"SUNPHARMA","EQ","11-Mar-2020","        393.35","        394.40","        395.25","        380.05","        386.85","        385.95","        386.99","    9127364","          3532178058.15","     107037","    2836001","         31.07"
"SUNPHARMA","EQ","12-Mar-2020","        385.95","        365.50","        372.70","        346.40","        357.45","        354.80","        357.70","   11663067","          4171832530.20","     126274","    4391159","         37.65"
"SUNPHARMA","EQ","13-Mar-2020","        354.80","        341.00","        402.95","        325.00","        386.00","        384.20","        383.27","   15802656","          6056719413.00","     212119","    6498150","         41.12"
"SUNPHARMA","EQ","16-Mar-2020","        384.20","        376.00","        396.40","        362.80","        370.00","        368.55","        377.06","   14480706","          5460138953.40","     168078","    6078087","         41.97"
"SUNPHARMA","EQ","17-Mar-2020","        368.55","        376.00","        395.60","        364.20","        371.00","        370.15","        383.84","   12903647","          4952926425.90","     193522","    3405953","         26.40"
"SUNPHARMA","EQ","18-Mar-2020","        370.15","        383.40","        386.40","        355.10","        366.75","        362.75","        369.47","   12342705","          4560217675.35","     201026","    4040725","         32.74"
"SUNPHARMA","EQ","19-Mar-2020","        362.75","        351.70","        374.45","        347.65","        361.30","        360.40","        362.17","    8728105","          3161099064.30","     168016","    2750810","         31.52"
"SUNPHARMA","EQ","20-Mar-2020","        360.40","        365.20","        379.50","        362.20","        363.05","        365.25","        370.57","   10631944","          3939883268.30","     159028","    4895530","         46.05"
