"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TORNTPHARM","EQ","02-Mar-2020","       2150.30","       2162.00","       2183.20","       2110.25","       2116.90","       2127.25","       2155.81","     284021","           612296162.80","      22340","     112001","         39.43"
"TORNTPHARM","EQ","03-Mar-2020","       2127.25","       2127.25","       2156.85","       2090.50","       2141.60","       2145.75","       2130.54","     394502","           840503945.70","      27498","     199269","         50.51"
"TORNTPHARM","EQ","04-Mar-2020","       2145.75","       2155.75","       2204.40","       2135.75","       2169.00","       2183.15","       2178.46","     639835","          1393852615.20","      43214","     264288","         41.31"
"TORNTPHARM","EQ","05-Mar-2020","       2183.15","       2173.15","       2245.00","       2168.00","       2209.00","       2213.95","       2220.28","     601063","          1334527147.35","      41986","     278304","         46.30"
"TORNTPHARM","EQ","06-Mar-2020","       2213.95","       2195.00","       2227.75","       2160.05","       2187.95","       2196.10","       2199.83","     501486","          1103183862.80","      46777","     273918","         54.62"
"TORNTPHARM","EQ","09-Mar-2020","       2196.10","       2196.10","       2197.50","       2020.10","       2105.20","       2099.65","       2098.76","     461888","           969390111.75","      62800","     230466","         49.90"
"TORNTPHARM","EQ","11-Mar-2020","       2099.65","       2099.65","       2161.35","       2051.00","       2142.00","       2138.90","       2119.70","     432383","           916520390.15","      40048","     162311","         37.54"
"TORNTPHARM","EQ","12-Mar-2020","       2138.90","       2095.00","       2120.00","       1956.80","       1994.20","       1987.90","       2016.52","     333475","           672459908.10","      34507","     150805","         45.22"
"TORNTPHARM","EQ","13-Mar-2020","       1987.90","       1810.00","       2140.85","       1790.00","       1963.90","       1978.50","       1946.52","     659496","          1283719626.10","      58722","     321270","         48.71"
"TORNTPHARM","EQ","16-Mar-2020","       1978.50","       1949.70","       2024.00","       1868.35","       1966.25","       1960.15","       1984.49","     679253","          1347971324.30","      75726","     316533","         46.60"
"TORNTPHARM","EQ","17-Mar-2020","       1960.15","       1955.00","       2026.55","       1931.55","       1999.90","       1986.00","       1985.15","     393923","           781995350.80","      40432","     197371","         50.10"
"TORNTPHARM","EQ","18-Mar-2020","       1986.00","       1979.00","       1999.90","       1803.05","       1806.65","       1815.25","       1859.44","     529872","           985267096.90","      59713","     264908","         49.99"
"TORNTPHARM","EQ","19-Mar-2020","       1815.25","       1780.00","       1832.40","       1583.25","       1785.00","       1772.10","       1737.03","     383729","           666547264.15","      44256","     184753","         48.15"
"TORNTPHARM","EQ","20-Mar-2020","       1772.10","       1815.00","       1936.45","       1786.00","       1857.40","       1893.90","       1889.79","     583576","          1102835981.35","      37993","     229949","         39.40"
"TORNTPHARM","EQ","23-Mar-2020","       1893.90","       1707.00","       1833.70","       1707.00","       1794.65","       1796.15","       1779.88","     306205","           545007458.70","      18323","     215569","         70.40"
