"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CADILAHC","EQ","02-Mar-2020","        260.05","        260.05","        263.55","        247.30","        250.20","        250.15","        255.65","    2160496","           552324206.15","      31029","     869537","         40.25"
"CADILAHC","EQ","03-Mar-2020","        250.15","        249.30","        263.45","        240.50","        260.40","        260.35","        249.82","    2447513","           611439547.70","      36596","     328333","         13.41"
"CADILAHC","EQ","04-Mar-2020","        260.35","        262.00","        263.40","        252.10","        255.85","        255.80","        257.55","    2007343","           516989572.90","      22106","     368452","         18.36"
"CADILAHC","EQ","05-Mar-2020","        255.80","        256.80","        272.75","        256.80","        265.50","        264.05","        265.55","    5574983","          1480414972.95","      63100","    1777189","         31.88"
"CADILAHC","EQ","06-Mar-2020","        264.05","        259.95","        268.65","        254.60","        265.00","        266.10","        265.34","    2571888","           682411918.85","      26489","     473441","         18.41"
"CADILAHC","EQ","09-Mar-2020","        266.10","        264.90","        267.25","        248.80","        256.05","        256.20","        257.67","    2318161","           597332118.65","      30353","     656302","         28.31"
"CADILAHC","EQ","11-Mar-2020","        256.20","        258.55","        264.30","        254.20","        258.15","        258.10","        259.40","    2942068","           763184864.85","      24499","    1416411","         48.14"
"CADILAHC","EQ","12-Mar-2020","        258.10","        250.80","        252.60","        234.50","        238.00","        236.90","        240.50","    2131508","           512620557.35","      22830","     864854","         40.57"
"CADILAHC","EQ","13-Mar-2020","        236.90","        219.00","        255.00","        202.00","        253.00","        251.55","        238.67","    1796888","           428860016.75","      28615","     464356","         25.84"
"CADILAHC","EQ","16-Mar-2020","        251.55","        247.00","        261.80","        236.25","        252.00","        249.35","        252.00","    2973038","           749216260.85","      46086","     688355","         23.15"
"CADILAHC","EQ","17-Mar-2020","        249.35","        249.30","        268.35","        247.10","        261.50","        262.70","        256.95","    2396541","           615802565.75","      24376","    1315588","         54.90"
"CADILAHC","EQ","18-Mar-2020","        262.70","        265.00","        267.65","        251.05","        257.00","        258.10","        258.74","    2087472","           540119714.85","      25456","     702876","         33.67"
"CADILAHC","EQ","19-Mar-2020","        258.10","        245.00","        255.95","        235.00","        247.25","        245.85","        246.55","    1521965","           375233747.15","      36794","     416322","         27.35"
"CADILAHC","EQ","20-Mar-2020","        245.85","        252.00","        290.00","        252.00","        285.20","        285.80","        277.79","    7510948","          2086483894.05","      90649","    1774479","         23.63"
"CADILAHC","EQ","23-Mar-2020","        285.80","        288.05","        305.90","        274.50","        281.00","        280.35","        288.91","    6353782","          1835699981.85","     105185","    1687124","         26.55"
"CADILAHC","EQ","24-Mar-2020","        280.35","        297.00","        299.50","        273.30","        276.40","        278.45","        284.48","    2614095","           743660998.40","      58826","     709267","         27.13"
"CADILAHC","EQ","25-Mar-2020","        278.45","        270.00","        281.00","        257.15","        263.55","        263.70","        266.77","    2927417","           780933885.00","      51545","     705959","         24.12"
"CADILAHC","EQ","26-Mar-2020","        263.70","        267.10","        271.00","        252.80","        259.00","        256.85","        263.84","    2575177","           679436801.15","      42813","     862036","         33.47"
"CADILAHC","EQ","27-Mar-2020","        256.85","        261.00","        264.75","        248.65","        252.00","        252.70","        256.06","    1872352","           479439811.90","      31546","     550007","         29.38"
"CADILAHC","EQ","30-Mar-2020","        252.70","        252.00","        258.40","        247.65","        255.00","        252.15","        254.18","    2234886","           568066794.85","      41723","     765004","         34.23"
"CADILAHC","EQ","31-Mar-2020","        252.15","        258.00","        271.15","        255.10","        267.95","        267.25","        262.68","    1919045","           504099234.30","      27130","     564151","         29.40"
"CADILAHC","EQ","01-Apr-2020","        267.25","        270.00","        273.30","        261.15","        262.00","        263.85","        268.67","    3044512","           817975824.95","      45627","     786244","         25.82"
"CADILAHC","EQ","03-Apr-2020","        263.85","        263.85","        279.50","        258.30","        274.00","        274.60","        271.65","    4367888","          1186536045.95","      59914","     746135","         17.08"
"CADILAHC","EQ","07-Apr-2020","        274.60","        302.05","        318.90","        290.00","        314.05","        312.35","        309.57","   12849762","          3977917832.85","     162115","    2458360","         19.13"
"CADILAHC","EQ","08-Apr-2020","        312.35","        334.00","        366.70","        330.00","        353.00","        349.85","        350.09","   34940619","         12232386593.00","     452811","    6866018","         19.65"
"CADILAHC","EQ","09-Apr-2020","        349.85","        373.00","        374.00","        348.00","        352.05","        351.10","        358.18","   21198837","          7592931161.50","     297234","    3983316","         18.79"
"CADILAHC","EQ","13-Apr-2020","        351.10","        364.90","        364.90","        351.75","        354.00","        353.75","        357.10","   14945001","          5336870797.80","     174691","    2808956","         18.80"
"CADILAHC","EQ","15-Apr-2020","        353.75","        354.50","        358.00","        330.85","        339.95","        339.10","        347.13","   11480952","          3985431562.25","     167173","    2127558","         18.53"
"CADILAHC","EQ","16-Apr-2020","        339.10","        336.00","        346.20","        329.15","        344.00","        343.55","        338.90","    7473616","          2532818740.55","     107921","    1130688","         15.13"
"CADILAHC","EQ","17-Apr-2020","        343.55","        349.00","        352.00","        332.00","        333.60","        333.80","        336.87","    7835392","          2639501730.55","     117084","    1864841","         23.80"
"CADILAHC","EQ","20-Apr-2020","        333.80","        340.00","        340.90","        330.20","        332.25","        333.20","        335.48","    9732675","          3265141391.10","     117779","    1703341","         17.50"
"CADILAHC","EQ","21-Apr-2020","        333.20","        329.75","        349.90","        326.35","        344.35","        344.20","        343.90","   12650701","          4350618002.85","     155613","    2017479","         15.95"
"CADILAHC","EQ","22-Apr-2020","        344.20","        340.00","        340.90","        327.40","        332.20","        331.40","        332.98","    8464412","          2818454860.90","     107603","    1641433","         19.39"
"CADILAHC","EQ","23-Apr-2020","        331.40","        332.20","        342.60","        330.05","        333.25","        331.45","        337.03","    7291158","          2457364750.95","      89631","    1844092","         25.29"
"CADILAHC","EQ","24-Apr-2020","        331.45","        333.25","        344.00","        330.90","        336.05","        336.95","        337.47","    8615838","          2907577059.20","      89718","    1909735","         22.17"
"CADILAHC","EQ","27-Apr-2020","        336.95","        330.30","        342.55","        325.65","        334.00","        333.85","        335.28","    9372941","          3142603908.10","     131002","    1427142","         15.23"
"CADILAHC","EQ","28-Apr-2020","        333.85","        335.10","        339.55","        324.00","        326.00","        325.95","        330.24","    4882363","          1612346758.95","      58248","    1407504","         28.83"
"CADILAHC","EQ","29-Apr-2020","        325.95","        325.00","        330.70","        320.50","        326.60","        326.70","        325.58","    5451366","          1774873068.70","      68805","     833366","         15.29"
"CADILAHC","EQ","30-Apr-2020","        326.70","        330.50","        332.00","        321.30","        323.95","        323.95","        325.88","    5084577","          1656966772.75","      62848","    1088777","         21.41"
"CADILAHC","EQ","04-May-2020","        323.95","        323.95","        337.25","        320.20","        330.90","        330.20","        332.03","   10069776","          3343480808.70","     132030","    2163066","         21.48"
"CADILAHC","EQ","05-May-2020","        330.20","        336.00","        342.50","        324.30","        327.15","        326.10","        335.29","    8082678","          2710018653.05","     106651","    1317647","         16.30"
"CADILAHC","EQ","06-May-2020","        326.10","        328.95","        330.70","        323.60","        326.80","        326.90","        327.06","    3448128","          1127757864.85","      42136","     585064","         16.97"
"CADILAHC","EQ","07-May-2020","        326.90","        328.15","        332.55","        320.30","        320.95","        321.20","        324.63","    4523263","          1468374626.25","      54511","     796349","         17.61"
"CADILAHC","EQ","08-May-2020","        321.20","        323.50","        327.45","        318.00","        321.05","        321.25","        321.64","    5409424","          1739871588.80","      55765","     919141","         16.99"
"CADILAHC","EQ","11-May-2020","        321.25","        332.80","        333.00","        325.20","        328.90","        328.40","        328.50","    5369042","          1763703900.35","      70831","     970696","         18.08"
"CADILAHC","EQ","12-May-2020","        328.40","        325.95","        330.20","        322.30","        324.25","        323.70","        325.09","    2547712","           828233547.35","      27739","     469464","         18.43"
"CADILAHC","EQ","13-May-2020","        323.70","        326.75","        328.75","        321.10","        325.50","        324.95","        324.83","    2799973","           909528165.30","      58599","     931803","         33.28"
"CADILAHC","EQ","14-May-2020","        324.95","        323.10","        341.75","        322.60","        338.85","        336.85","        336.96","   10950024","          3689675200.80","     122204","    1963960","         17.94"
"CADILAHC","EQ","15-May-2020","        336.85","        340.00","        343.00","        330.00","        331.80","        332.20","        336.37","    5091000","          1712462523.35","      55642","     834980","         16.40"
"CADILAHC","EQ","18-May-2020","        332.20","        332.50","        335.65","        323.15","        323.85","        323.95","        328.32","    3086689","          1013407340.45","      35100","     587840","         19.04"
"CADILAHC","EQ","19-May-2020","        323.95","        326.05","        330.95","        321.35","        327.00","        325.90","        326.80","    2773188","           906275073.90","      41728","     515391","         18.58"
"CADILAHC","EQ","20-May-2020","        325.90","        326.80","        339.00","        325.10","        337.05","        337.80","        332.94","    3302453","          1099509422.75","      39341","     766300","         23.20"
"CADILAHC","EQ","21-May-2020","        337.80","        339.50","        353.00","        339.40","        343.60","        344.35","        347.76","   10198978","          3546806525.60","     112959","    1577834","         15.47"
"CADILAHC","EQ","22-May-2020","        344.35","        346.00","        350.50","        343.00","        346.50","        346.70","        346.72","    4851553","          1682128438.05","      71841","     825238","         17.01"
"CADILAHC","EQ","26-May-2020","        346.70","        348.00","        351.85","        334.25","        336.50","        338.30","        343.35","    4063780","          1395296229.45","      50012","     840642","         20.69"
"CADILAHC","EQ","27-May-2020","        338.30","        339.80","        340.70","        333.00","        336.55","        337.60","        337.21","    2899592","           977756935.80","      31806","     897640","         30.96"
"CADILAHC","EQ","28-May-2020","        337.60","        336.60","        342.90","        333.35","        338.25","        338.10","        338.40","    2383250","           806485972.85","      29590","     613839","         25.76"
