"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABBOTINDIA","EQ","19-Feb-2021","      14918.80","      14950.00","      14950.00","      14650.00","      14739.90","      14716.30","      14795.48","       9407","           139181039.50","       3750","       3940","         41.88"
"ABBOTINDIA","EQ","22-Feb-2021","      14716.30","      14780.00","      14789.65","      14485.05","      14665.05","      14637.20","      14649.24","      12942","           189590430.70","       4174","       7843","         60.60"
"ABBOTINDIA","EQ","23-Feb-2021","      14637.20","      14705.00","      14748.90","      14454.50","      14504.40","      14471.30","      14627.74","      11319","           165571404.00","       3754","       6955","         61.45"
"ABBOTINDIA","EQ","24-Feb-2021","      14471.30","      14548.10","      14717.50","      14477.00","      14555.05","      14591.60","      14636.28","       5329","            77996726.15","       1938","       3195","         59.95"
"ABBOTINDIA","EQ","25-Feb-2021","      14591.60","      14591.60","      14688.45","      14270.05","      14368.90","      14352.55","      14333.63","      24900","           356907442.95","       6505","      11993","         48.16"
"ABBOTINDIA","EQ","26-Feb-2021","      14352.55","      14352.55","      14484.10","      14228.00","      14384.00","      14389.45","      14326.51","      11859","           169898118.15","       4638","       5677","         47.87"
"ABBOTINDIA","EQ","01-Mar-2021","      14389.45","      14450.00","      14520.00","      14250.00","      14500.00","      14497.75","      14419.74","      19828","           285914697.55","       5613","      13520","         68.19"
"ABBOTINDIA","EQ","02-Mar-2021","      14497.75","      14550.00","      14685.75","      14450.00","      14547.00","      14531.60","      14567.46","       8953","           130422472.30","       3068","       5128","         57.28"
"ABBOTINDIA","EQ","03-Mar-2021","      14531.60","      14630.00","      14844.00","      14537.65","      14645.00","      14613.90","      14696.02","      12011","           176513875.55","       4431","       6461","         53.79"
"ABBOTINDIA","EQ","04-Mar-2021","      14613.90","      14613.90","      14855.00","      14590.00","      14636.00","      14689.35","      14758.94","      11316","           167012158.70","       3391","       6379","         56.37"
"ABBOTINDIA","EQ","05-Mar-2021","      14689.35","      14700.00","      14865.55","      14700.00","      14770.05","      14754.80","      14786.02","       9970","           147416625.65","       3404","       5267","         52.83"
"ABBOTINDIA","EQ","08-Mar-2021","      14754.80","      14770.05","      14850.05","      14625.15","      14760.10","      14759.70","      14741.88","       5777","            85163818.20","       2127","       3273","         56.66"
"ABBOTINDIA","EQ","09-Mar-2021","      14759.70","      14760.00","      14800.00","      14644.00","      14700.00","      14687.55","      14696.91","       6839","           100512168.50","       2275","       4097","         59.91"
"ABBOTINDIA","EQ","10-Mar-2021","      14687.55","      14687.55","      14750.00","      14600.00","      14648.00","      14668.15","      14688.02","      13903","           204207515.05","       2371","      11034","         79.36"
"ABBOTINDIA","EQ","12-Mar-2021","      14668.15","      14689.40","      14718.90","      14503.30","      14615.00","      14616.25","      14620.77","      17952","           262472146.50","       3045","      14667","         81.70"
"ABBOTINDIA","EQ","15-Mar-2021","      14616.25","      14625.00","      14650.00","      14435.00","      14580.00","      14535.80","      14535.73","      10603","           154122307.65","       2646","       7046","         66.45"
"ABBOTINDIA","EQ","16-Mar-2021","      14535.80","      14530.00","      14800.00","      14300.00","      14800.00","      14771.80","      14684.25","      11455","           168208082.75","       3458","       5391","         47.06"
"ABBOTINDIA","EQ","17-Mar-2021","      14771.80","      14825.00","      14825.00","      14540.00","      14720.00","      14731.40","      14692.90","       9390","           137966363.40","       2950","       4902","         52.20"
