"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALKEM","EQ","19-Feb-2021","       2841.00","       2860.00","       2892.00","       2842.75","       2879.00","       2875.50","       2867.37","     100531","           288259827.50","      14720","      51024","         50.75"
"ALKEM","EQ","22-Feb-2021","       2875.50","       2868.50","       2879.90","       2725.00","       2777.00","       2758.40","       2802.02","      72608","           203448736.20","      14360","      39656","         54.62"
"ALKEM","EQ","23-Feb-2021","       2758.40","       2844.50","       2844.50","       2711.95","       2720.10","       2724.70","       2750.91","     100733","           277107467.15","      13793","      32672","         32.43"
"ALKEM","EQ","24-Feb-2021","       2724.70","       2757.00","       2779.00","       2710.05","       2775.00","       2761.80","       2749.61","      40520","           111414354.20","       5456","      17869","         44.10"
"ALKEM","EQ","25-Feb-2021","       2761.80","       2782.30","       2788.50","       2720.05","       2752.00","       2733.50","       2739.77","     135048","           370000625.75","      18953","      77436","         57.34"
"ALKEM","EQ","26-Feb-2021","       2733.50","       2714.00","       2825.00","       2710.00","       2725.00","       2722.05","       2758.50","     125250","           345502446.85","      13477","      41201","         32.90"
"ALKEM","EQ","01-Mar-2021","       2722.05","       2743.10","       2855.00","       2722.10","       2833.85","       2827.30","       2777.50","      75867","           210720395.60","      11299","      37065","         48.86"
"ALKEM","EQ","02-Mar-2021","       2827.30","       2831.00","       2961.00","       2821.05","       2930.00","       2914.65","       2910.40","     189764","           552289922.60","      19646","      77356","         40.76"
"ALKEM","EQ","03-Mar-2021","       2914.65","       2932.00","       2942.00","       2835.00","       2850.00","       2842.10","       2857.65","     224139","           640510181.75","      18433","     112965","         50.40"
"ALKEM","EQ","04-Mar-2021","       2842.10","       2844.85","       2858.70","       2805.15","       2828.00","       2829.65","       2832.54","     115653","           327592219.85","      11449","      55288","         47.81"
"ALKEM","EQ","05-Mar-2021","       2829.65","       2818.25","       2845.90","       2777.00","       2785.00","       2783.35","       2794.20","     116162","           324579369.70","       9552","      76918","         66.22"
"ALKEM","EQ","08-Mar-2021","       2783.35","       2794.20","       2803.95","       2768.10","       2786.80","       2785.65","       2782.67","      36017","           100223426.40","       4308","      20589","         57.16"
"ALKEM","EQ","09-Mar-2021","       2785.65","       2791.30","       2808.50","       2750.20","       2768.90","       2772.40","       2766.05","      93079","           257461016.10","      14257","      27111","         29.13"
"ALKEM","EQ","10-Mar-2021","       2772.40","       2772.00","       2798.65","       2732.00","       2757.00","       2739.75","       2747.00","     184661","           507263008.80","      10888","     136230","         73.77"
"ALKEM","EQ","12-Mar-2021","       2739.75","       2761.00","       2786.50","       2730.00","       2774.00","       2773.50","       2760.81","     148218","           409202100.05","      17270","      81520","         55.00"
"ALKEM","EQ","15-Mar-2021","       2773.50","       2798.00","       2798.00","       2673.95","       2683.45","       2685.90","       2699.37","     136077","           367322172.25","      14218","      53672","         39.44"
"ALKEM","EQ","16-Mar-2021","       2685.90","       2686.00","       2702.30","       2645.95","       2656.00","       2657.50","       2665.45","      86396","           230284417.20","       9171","      35720","         41.34"
"ALKEM","EQ","17-Mar-2021","       2657.50","       2665.00","       2675.00","       2626.00","       2626.15","       2631.60","       2639.99","      57460","           151693950.05","       6863","      27546","         47.94"
