"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APLLTD","EQ","19-Feb-2021","        945.45","        946.95","        948.80","        894.80","        901.10","        902.40","        913.27","     522141","           476856587.65","      23330","     302134","         57.86"
"APLLTD","EQ","22-Feb-2021","        902.40","        891.50","        908.65","        870.00","        885.00","        888.25","        888.21","     680157","           604120734.05","      18484","     253665","         37.30"
"APLLTD","EQ","23-Feb-2021","        888.25","        892.70","        904.80","        875.05","        895.00","        892.30","        889.07","     186949","           166211394.90","       8138","      85274","         45.61"
"APLLTD","EQ","24-Feb-2021","        892.30","        894.80","        904.60","        878.45","        882.70","        882.60","        887.55","     152176","           135064302.75","       6515","      92437","         60.74"
"APLLTD","EQ","25-Feb-2021","        882.60","        890.00","        903.35","        881.00","        895.00","        897.35","        894.23","     312518","           279462683.50","       7914","     164209","         52.54"
"APLLTD","EQ","26-Feb-2021","        897.35","        890.00","        928.80","        881.00","        915.00","        920.75","        918.92","     627914","           577004592.30","      17256","     320666","         51.07"
"APLLTD","EQ","01-Mar-2021","        920.75","        910.10","        938.95","        908.30","        924.00","        924.25","        921.33","     444155","           409211748.20","      18982","     233520","         52.58"
"APLLTD","EQ","02-Mar-2021","        924.25","        928.90","        940.00","        922.75","        936.90","        935.25","        931.28","     271111","           252479548.70","      10421","     155582","         57.39"
"APLLTD","EQ","03-Mar-2021","        935.25","        945.40","        948.00","        927.00","        929.00","        929.65","        934.96","     452319","           422900415.60","      15751","     295053","         65.23"
"APLLTD","EQ","04-Mar-2021","        929.65","        927.00","        936.00","        916.80","        924.00","        922.70","        923.31","     468509","           432580570.85","      11135","     287030","         61.26"
"APLLTD","EQ","05-Mar-2021","        922.70","        925.00","        934.95","        910.65","        912.00","        917.00","        917.90","     295260","           271018131.65","      10524","     181024","         61.31"
"APLLTD","EQ","08-Mar-2021","        917.00","        917.00","        929.70","        906.25","        927.00","        927.50","        919.86","     306352","           281800371.60","       7996","     191938","         62.65"
"APLLTD","EQ","09-Mar-2021","        927.50","        927.60","        947.00","        927.00","        937.00","        938.20","        934.69","     472633","           441766692.55","      10428","     251722","         53.26"
"APLLTD","EQ","10-Mar-2021","        938.20","        938.00","        943.20","        925.95","        938.00","        934.45","        932.63","     288734","           269281265.05","       6677","     191366","         66.28"
"APLLTD","EQ","12-Mar-2021","        934.45","        939.00","        948.00","        931.40","        940.00","        939.90","        937.94","     312400","           293013536.40","      12593","     156456","         50.08"
"APLLTD","EQ","15-Mar-2021","        939.90","        937.10","        942.70","        901.25","        912.50","        917.05","        916.80","     259988","           238356012.50","       9247","      93478","         35.95"
"APLLTD","EQ","16-Mar-2021","        917.05","        912.50","        930.00","        906.65","        922.95","        923.55","        917.53","     189831","           174175769.30","       6456","      93033","         49.01"
"APLLTD","EQ","17-Mar-2021","        923.55","        918.00","        922.80","        899.10","        903.00","        902.15","        909.07","     193046","           175492500.30","       9227","     111947","         57.99"
"APLLTD","EQ","18-Mar-2021","        902.15","        905.30","        919.95","        877.55","        888.80","        887.65","        896.14","     218621","           195914509.75","      13668","      96914","         44.33"
"APLLTD","EQ","19-Mar-2021","        887.65","        885.00","        892.00","        864.30","        892.00","        887.55","        879.14","     249572","           219409858.20","       8636","     167211","         67.00"
"APLLTD","EQ","22-Mar-2021","        887.55","        890.10","        925.95","        888.65","        921.30","        916.20","        915.61","     555759","           508859392.45","      11886","     314335","         56.56"
"APLLTD","EQ","23-Mar-2021","        916.20","        922.25","        939.95","        906.00","        936.00","        932.85","        931.63","     784748","           731094099.75","       8536","     558805","         71.21"
"APLLTD","EQ","24-Mar-2021","        932.85","        936.00","        945.95","        926.00","        940.00","        936.80","        938.20","     349869","           328246151.45","       9657","     164182","         46.93"
"APLLTD","EQ","25-Mar-2021","        936.80","        936.00","        936.00","        912.00","        927.90","        926.35","        922.20","     176893","           163130111.60","       6376","      74970","         42.38"
"APLLTD","EQ","26-Mar-2021","        926.35","        927.85","        946.85","        918.75","        935.00","        935.65","        936.15","     214446","           200752978.85","       7465","      78584","         36.65"
"APLLTD","EQ","30-Mar-2021","        935.65","        943.90","        967.00","        939.80","        954.00","        955.50","        953.44","     408354","           389342519.30","      15341","     153792","         37.66"
