"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AUROPHARMA","EQ","19-Feb-2021","        911.70","        911.70","        921.80","        883.00","        886.00","        888.55","        901.29","    3294990","          2969738365.55","      74066","    1371011","         41.61"
"AUROPHARMA","EQ","22-Feb-2021","        888.55","        886.00","        890.70","        849.00","        850.60","        856.40","        867.71","    3205958","          2781849787.35","      90979","    1256269","         39.19"
"AUROPHARMA","EQ","23-Feb-2021","        856.40","        850.60","        862.70","        837.00","        856.80","        853.60","        847.80","    3021328","          2561488710.30","      58391","    1221392","         40.43"
"AUROPHARMA","EQ","24-Feb-2021","        853.60","        863.00","        868.45","        851.10","        861.65","        862.00","        859.67","    1100310","           945905713.85","      29490","     525635","         47.77"
"AUROPHARMA","EQ","25-Feb-2021","        862.00","        867.75","        875.20","        856.35","        861.95","        863.25","        865.69","    2579512","          2233045859.40","      61014","     957038","         37.10"
"AUROPHARMA","EQ","26-Feb-2021","        863.25","        849.00","        871.95","        844.45","        850.30","        855.20","        860.04","    3866956","          3325719587.50","      98488","    1570128","         40.60"
"AUROPHARMA","EQ","01-Mar-2021","        855.20","        855.10","        879.00","        849.40","        876.90","        873.65","        864.06","    1653424","          1428651327.85","      46088","     469191","         28.38"
"AUROPHARMA","EQ","02-Mar-2021","        873.65","        885.00","        889.00","        868.75","        884.70","        885.90","        879.71","    2231920","          1963452848.20","      70447","     962555","         43.13"
"AUROPHARMA","EQ","03-Mar-2021","        885.90","        888.00","        889.00","        875.00","        880.75","        880.50","        880.49","    2252225","          1983062327.80","      75778","    1106188","         49.12"
"AUROPHARMA","EQ","04-Mar-2021","        880.50","        874.90","        884.80","        868.55","        876.70","        874.90","        877.48","    1523420","          1336774495.70","      39808","     678303","         44.53"
"AUROPHARMA","EQ","05-Mar-2021","        874.90","        874.90","        874.95","        856.00","        863.30","        862.80","        862.81","    1792630","          1546701592.35","      42048","     838283","         46.76"
"AUROPHARMA","EQ","08-Mar-2021","        862.80","        863.35","        876.50","        859.00","        861.50","        862.70","        866.45","    1550642","          1343550175.50","      28009","     691141","         44.57"
"AUROPHARMA","EQ","09-Mar-2021","        862.70","        864.00","        870.00","        843.50","        852.00","        852.95","        854.66","    1088820","           930570209.50","      32731","     420918","         38.66"
"AUROPHARMA","EQ","10-Mar-2021","        852.95","        853.00","        863.95","        850.10","        855.50","        857.30","        856.19","    1525849","          1306416292.70","      34097","     775297","         50.81"
"AUROPHARMA","EQ","12-Mar-2021","        857.30","        869.00","        869.00","        844.00","        846.55","        848.25","        851.38","    2032952","          1730821966.45","      58992","     729607","         35.89"
"AUROPHARMA","EQ","15-Mar-2021","        848.25","        847.95","        848.00","        817.00","        835.80","        835.30","        828.08","    2109662","          1746961940.05","      45530","     791233","         37.51"
"AUROPHARMA","EQ","16-Mar-2021","        835.30","        836.00","        852.85","        828.30","        840.15","        840.95","        840.10","    1433585","          1204356251.85","      35129","     405098","         28.26"
"AUROPHARMA","EQ","17-Mar-2021","        840.95","        839.50","        852.10","        832.00","        832.95","        839.30","        844.37","    2109410","          1781126906.10","      56392","     934882","         44.32"
"AUROPHARMA","EQ","18-Mar-2021","        839.30","        835.05","        847.90","        802.15","        811.00","        807.90","        824.83","    2543138","          2097666977.10","      79008","    1046873","         41.16"
"AUROPHARMA","EQ","19-Mar-2021","        807.90","        803.00","        826.40","        797.30","        822.70","        822.25","        818.15","    2896141","          2369465687.75","      68768","    1201353","         41.48"
"AUROPHARMA","EQ","22-Mar-2021","        822.25","        830.10","        849.50","        826.00","        839.40","        835.25","        839.13","    3077093","          2582084056.20","      86188","     963773","         31.32"
"AUROPHARMA","EQ","23-Mar-2021","        835.25","        838.00","        848.50","        830.50","        846.00","        846.15","        841.05","    1549710","          1303381810.20","      35628","     590156","         38.08"
"AUROPHARMA","EQ","24-Mar-2021","        846.15","        842.70","        862.55","        841.20","        856.80","        855.85","        856.16","    2890108","          2474402694.05","      67972","     619801","         21.45"
"AUROPHARMA","EQ","25-Mar-2021","        855.85","        860.10","        864.40","        825.10","        839.95","        840.15","        840.84","    2706117","          2275406067.10","      77971","    1037682","         38.35"
"AUROPHARMA","EQ","26-Mar-2021","        840.15","        843.70","        857.50","        838.30","        851.00","        850.05","        848.65","    1322272","          1122143041.95","      35777","     409070","         30.94"
"AUROPHARMA","EQ","30-Mar-2021","        850.05","        862.10","        873.05","        852.30","        870.00","        870.40","        867.34","    1646609","          1428162736.70","      58077","     750047","         45.55"
"AUROPHARMA","EQ","31-Mar-2021","        870.40","        871.00","        885.00","        865.45","        877.00","        881.30","        878.70","    1493574","          1312398226.25","      37987","     646865","         43.31"
"AUROPHARMA","EQ","01-Apr-2021","        881.30","        879.00","        886.95","        866.35","        880.60","        881.30","        877.81","    1440078","          1264121452.75","      30403","     453871","         31.52"
"AUROPHARMA","EQ","05-Apr-2021","        881.30","        879.00","        893.65","        871.00","        884.75","        882.20","        882.23","    1559124","          1375509832.80","      48262","     527312","         33.82"
"AUROPHARMA","EQ","06-Apr-2021","        882.20","        882.20","        894.90","        878.50","        894.00","        892.80","        888.81","    1531825","          1361502884.15","      45222","     638907","         41.71"
"AUROPHARMA","BL","07-Apr-2021","        768.30","        905.65","        905.65","        905.65","        905.65","        905.65","        905.65","    1625000","          1471681250.00","          1","-","-"
"AUROPHARMA","EQ","07-Apr-2021","        892.80","        897.45","        911.45","        893.00","        903.05","        905.00","        903.06","    1709966","          1544199193.45","      49831","     550723","         32.21"
"AUROPHARMA","EQ","08-Apr-2021","        905.00","        910.45","        919.85","        906.00","        907.60","        907.40","        913.92","    1482404","          1354797032.10","      38966","     455914","         30.76"
"AUROPHARMA","EQ","09-Apr-2021","        907.40","        902.00","        952.95","        901.30","        948.00","        943.70","        939.06","    3906307","          3668271910.05","      82104","    1178199","         30.16"
"AUROPHARMA","EQ","12-Apr-2021","        943.70","        940.70","        949.25","        906.00","        915.20","        915.20","        925.92","    2974446","          2754099441.00","      92843","     811800","         27.29"
"AUROPHARMA","EQ","13-Apr-2021","        915.20","        917.10","        925.00","        889.50","        910.45","        909.25","        908.81","    1693074","          1538680671.95","      63382","     459697","         27.15"
"AUROPHARMA","EQ","15-Apr-2021","        909.25","        917.00","        932.00","        900.00","        914.00","        915.25","        917.43","    4393581","          4030817061.60","     121701","    1569054","         35.71"
"AUROPHARMA","EQ","16-Apr-2021","        915.25","        916.10","        959.00","        910.50","        951.00","        953.00","        937.91","    4381580","          4109543529.25","      83268","    1593789","         36.37"
"AUROPHARMA","EQ","19-Apr-2021","        953.00","        955.00","        974.00","        932.20","        972.95","        965.90","        955.48","    4587771","          4383524615.85","     108683","     697314","         15.20"
"AUROPHARMA","EQ","20-Apr-2021","        965.90","        980.00","       1006.25","        976.50","        981.90","        987.30","        992.41","    6961954","          6909127714.50","     135524","    1680589","         24.14"
"AUROPHARMA","EQ","22-Apr-2021","        987.30","        987.95","       1015.00","        975.00","        992.30","        993.20","        997.59","    7282560","          7265007410.75","     166665","    1777451","         24.41"
"AUROPHARMA","EQ","23-Apr-2021","        993.20","        996.95","       1008.90","        980.10","        993.50","        993.35","        991.41","    3345931","          3317199552.70","      71384","     900482","         26.91"
"AUROPHARMA","EQ","26-Apr-2021","        993.35","        999.00","        999.95","        966.75","        970.65","        971.20","        978.72","    1910017","          1869375165.75","      41141","     449005","         23.51"
"AUROPHARMA","EQ","27-Apr-2021","        971.20","        976.10","        983.80","        963.75","        970.80","        972.60","        972.70","    1857238","          1806527972.75","      49905","     536454","         28.88"
"AUROPHARMA","EQ","28-Apr-2021","        972.60","        973.95","        981.00","        959.05","        960.00","        963.00","        969.50","    1451281","          1407022505.45","      34740","     391462","         26.97"
"AUROPHARMA","EQ","29-Apr-2021","        963.00","        965.10","        989.00","        962.05","        967.90","        967.20","        975.79","    2279268","          2224093044.30","      51607","     421315","         18.48"
"AUROPHARMA","EQ","30-Apr-2021","        967.20","        964.00","        989.00","        964.00","        978.95","        980.85","        979.51","    2009351","          1968179620.15","      37055","     602037","         29.96"
"AUROPHARMA","EQ","03-May-2021","        980.85","        979.70","        986.25","        965.50","        968.70","        968.75","        972.47","    1415097","          1376142057.75","      42365","     283656","         20.04"
"AUROPHARMA","EQ","04-May-2021","        968.75","        973.95","        980.00","        950.00","        956.85","        956.50","        963.12","    1676068","          1614262089.65","      42539","     503723","         30.05"
"AUROPHARMA","EQ","05-May-2021","        956.50","        957.10","       1024.90","        955.80","       1024.20","       1018.05","        998.34","    6019729","          6009731502.85","     122299","    1407547","         23.38"
"AUROPHARMA","EQ","06-May-2021","       1018.05","       1035.00","       1039.00","       1000.00","       1005.40","       1009.05","       1014.19","    4590785","          4655917223.75","      85196","    1499194","         32.66"
"AUROPHARMA","EQ","07-May-2021","       1009.05","       1009.10","       1023.00","       1001.00","       1015.00","       1013.05","       1013.29","    2295907","          2326425944.50","      48925","     404563","         17.62"
"AUROPHARMA","EQ","10-May-2021","       1013.05","       1018.85","       1061.75","       1016.10","       1046.00","       1047.95","       1045.13","    4114533","          4300233584.70","      80736","    1070837","         26.03"
"AUROPHARMA","EQ","11-May-2021","       1047.95","       1041.95","       1063.90","       1018.90","       1028.00","       1030.90","       1038.18","    2669450","          2771369826.70","      68889","     510547","         19.13"
"AUROPHARMA","EQ","12-May-2021","       1030.90","       1034.90","       1039.00","       1005.05","       1016.45","       1017.30","       1020.63","    2777776","          2835082992.85","      48790","    1042616","         37.53"
"AUROPHARMA","EQ","14-May-2021","       1017.30","       1021.90","       1026.90","        995.45","       1010.00","       1006.70","       1010.37","    2359306","          2383770152.00","      40048","     923080","         39.13"
"AUROPHARMA","EQ","17-May-2021","       1006.70","       1009.90","       1017.00","       1000.20","       1003.00","       1002.35","       1006.86","    1354654","          1363948719.30","      44638","     495063","         36.55"
"AUROPHARMA","EQ","18-May-2021","       1002.35","       1004.95","       1020.35","        999.40","       1002.00","       1004.10","       1009.62","    1641850","          1657640208.60","      32409","     596523","         36.33"
"AUROPHARMA","EQ","19-May-2021","       1004.10","       1000.15","       1029.90","       1000.15","       1019.00","       1017.10","       1015.39","    2428475","          2465855763.00","      96385","     831915","         34.26"
"AUROPHARMA","EQ","20-May-2021","       1017.10","       1022.20","       1031.00","       1011.00","       1028.00","       1025.50","       1024.22","    2175661","          2228365151.65","      61461","     748751","         34.41"
"AUROPHARMA","EQ","21-May-2021","       1025.50","       1030.10","       1034.90","       1008.45","       1010.00","       1013.15","       1021.54","    1338498","          1367327444.30","      26864","     360267","         26.92"
"AUROPHARMA","EQ","24-May-2021","       1013.15","       1011.00","       1021.60","       1009.10","       1017.00","       1013.75","       1015.46","    1249942","          1269269814.95","      22786","     471137","         37.69"
"AUROPHARMA","EQ","25-May-2021","       1013.75","       1021.90","       1025.00","       1006.20","       1022.50","       1022.65","       1017.19","    1206169","          1226908277.15","      25131","     424770","         35.22"
"AUROPHARMA","EQ","26-May-2021","       1022.65","       1022.70","       1043.10","       1017.50","       1027.00","       1023.35","       1030.98","    1810026","          1866108424.90","      38279","     572132","         31.61"
"AUROPHARMA","EQ","27-May-2021","       1023.35","       1023.70","       1037.90","       1015.10","       1031.00","       1031.60","       1028.29","    1905884","          1959804012.85","      32026","    1068035","         56.04"
"AUROPHARMA","EQ","28-May-2021","       1031.60","       1033.00","       1034.35","       1016.35","       1021.95","       1022.20","       1025.59","    1211293","          1242290927.15","      23553","     461544","         38.10"
"AUROPHARMA","EQ","31-May-2021","       1022.20","       1029.00","       1032.00","        983.55","       1001.00","        997.95","       1002.50","    6480864","          6497092642.45","     137838","    1260351","         19.45"
"AUROPHARMA","EQ","01-Jun-2021","        997.95","       1003.05","       1008.60","        959.25","        968.40","        970.30","        973.33","    4967258","          4834773243.75","     104804","    1337013","         26.92"
"AUROPHARMA","EQ","02-Jun-2021","        970.30","        971.00","        984.25","        962.75","        965.50","        966.45","        969.00","    3288729","          3186791692.05","      63159","    1532021","         46.58"
"AUROPHARMA","EQ","03-Jun-2021","        966.45","        970.00","        973.30","        962.00","        968.15","        967.85","        966.59","    1289116","          1246046147.60","      32269","     424425","         32.92"
"AUROPHARMA","EQ","04-Jun-2021","        967.85","        973.00","        974.50","        956.05","        958.50","        959.05","        963.18","    1524773","          1468633941.90","      42551","     503702","         33.03"
"AUROPHARMA","EQ","07-Jun-2021","        959.05","        964.05","        968.00","        956.45","        961.00","        959.50","        960.48","    1716989","          1649138990.10","      35988","     789691","         45.99"
"AUROPHARMA","EQ","08-Jun-2021","        959.50","        961.10","        974.40","        950.50","        972.65","        972.10","        964.07","    2098049","          2022655842.70","      46287","     736267","         35.09"
"AUROPHARMA","EQ","09-Jun-2021","        972.10","        974.95","        982.00","        952.45","        959.10","        958.95","        970.39","    2811183","          2727941869.30","      66266","     974074","         34.65"
"AUROPHARMA","EQ","10-Jun-2021","        958.95","        960.30","        977.50","        960.05","        966.40","        964.00","        968.87","    1697605","          1644765774.95","      38162","     650425","         38.31"
"AUROPHARMA","EQ","11-Jun-2021","        964.00","        969.00","       1016.45","        961.50","       1012.00","       1009.80","        994.54","    6844140","          6806748222.90","     137439","    2404567","         35.13"
"AUROPHARMA","EQ","14-Jun-2021","       1009.80","       1014.60","       1018.00","        982.30","        993.50","        994.30","       1000.46","    3167944","          3169395573.85","      63626","    1283136","         40.50"
"AUROPHARMA","EQ","15-Jun-2021","        994.30","        997.05","       1003.75","        987.70","        998.00","        993.75","        996.17","    1403323","          1397946098.90","      30738","     454705","         32.40"
"AUROPHARMA","EQ","16-Jun-2021","        993.75","        994.00","       1009.50","        980.85","        983.00","        987.60","        993.55","    2971468","          2952303815.60","      65967","     653269","         21.98"
"AUROPHARMA","EQ","17-Jun-2021","        987.60","        978.70","        989.15","        946.90","        961.85","        961.70","        968.09","    2763925","          2675718650.20","      64313","     880539","         31.86"
"AUROPHARMA","EQ","18-Jun-2021","        961.70","        961.00","        968.60","        917.75","        946.40","        952.45","        946.80","    2778336","          2630539412.95","      69393","     908624","         32.70"
"AUROPHARMA","EQ","21-Jun-2021","        952.45","        942.00","        956.60","        931.00","        952.10","        954.75","        948.36","    1212601","          1149982813.65","      29198","     379365","         31.29"
