"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BIOCON","EQ","19-Feb-2021","        420.10","        419.80","        419.80","        401.60","        404.00","        404.00","        410.14","    4834156","          1982667195.90","      45214","    1538399","         31.82"
"BIOCON","EQ","22-Feb-2021","        404.00","        405.00","        406.80","        395.25","        396.05","        397.65","        401.43","    3183792","          1278085064.65","      41786","     792693","         24.90"
"BIOCON","EQ","23-Feb-2021","        397.65","        398.25","        400.75","        384.10","        385.45","        385.35","        393.31","    9103379","          3580446244.50","     103125","    2001205","         21.98"
"BIOCON","EQ","24-Feb-2021","        385.35","        388.80","        392.45","        385.35","        389.60","        389.50","        387.90","    1470901","           570558546.40","      22334","     558128","         37.94"
"BIOCON","EQ","25-Feb-2021","        389.50","        391.70","        400.70","        390.55","        399.00","        397.80","        395.83","    4350060","          1721874012.10","      55386","    1506301","         34.63"
"BIOCON","EQ","26-Feb-2021","        397.80","        393.95","        401.85","        387.00","        390.50","        390.20","        392.82","    5197606","          2041740084.95","      53196","    1981981","         38.13"
"BIOCON","EQ","01-Mar-2021","        390.20","        395.00","        399.00","        387.40","        397.80","        395.65","        392.39","    2691673","          1056188642.30","      33003","     923174","         34.30"
"BIOCON","EQ","02-Mar-2021","        395.65","        397.80","        399.90","        392.10","        398.00","        398.00","        396.51","    2769928","          1098313017.05","      26473","    1052573","         38.00"
"BIOCON","EQ","03-Mar-2021","        398.00","        399.00","        403.80","        396.60","        402.50","        402.70","        400.80","    2975783","          1192694869.75","      36511","    1082015","         36.36"
"BIOCON","EQ","04-Mar-2021","        402.70","        399.00","        407.10","        398.30","        399.60","        399.75","        402.97","    1939204","           781436639.95","      30663","     638260","         32.91"
"BIOCON","EQ","05-Mar-2021","        399.75","        398.50","        401.25","        393.50","        395.20","        394.60","        397.05","    1607741","           638355236.45","      24615","     448128","         27.87"
"BIOCON","EQ","08-Mar-2021","        394.60","        396.00","        396.95","        391.30","        392.70","        393.35","        394.06","    1923276","           757879742.40","      20970","     706838","         36.75"
"BIOCON","EQ","09-Mar-2021","        393.35","        397.50","        397.50","        385.60","        389.00","        389.00","        390.46","    2605409","          1017318397.80","      35558","    1095335","         42.04"
"BIOCON","EQ","10-Mar-2021","        389.00","        392.00","        404.45","        388.70","        402.80","        402.55","        398.12","    7942179","          3161934794.15","      62423","    3184971","         40.10"
"BIOCON","EQ","12-Mar-2021","        402.55","        402.55","        404.80","        397.70","        399.00","        400.20","        400.56","    3756453","          1504701522.60","      41419","    1613932","         42.96"
