"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CIPLA","EQ","19-Feb-2021","        825.45","        823.80","        825.45","        799.00","        808.80","        807.35","        813.12","    3834443","          3117851526.95","      76673","     886316","         23.11"
"CIPLA","EQ","22-Feb-2021","        807.35","        811.40","        817.50","        786.05","        788.00","        792.45","        804.79","    4090429","          3291936116.30","      82024","     898052","         21.95"
"CIPLA","EQ","23-Feb-2021","        792.45","        795.00","        803.15","        788.40","        792.00","        790.95","        795.18","    3264477","          2595855904.30","      55287","    1020093","         31.25"
"CIPLA","EQ","24-Feb-2021","        790.95","        794.00","        798.10","        776.25","        784.00","        789.05","        790.51","    1587082","          1254599863.55","      38817","     553157","         34.85"
"CIPLA","EQ","25-Feb-2021","        789.05","        795.00","        814.00","        790.45","        813.40","        809.15","        806.38","    5478169","          4417462361.30","      99785","    1817063","         33.17"
"CIPLA","EQ","26-Feb-2021","        809.15","        805.00","        820.00","        780.00","        784.95","        787.05","        802.56","    7549015","          6058510362.85","     139468","    2254746","         29.87"
"CIPLA","EQ","01-Mar-2021","        787.05","        795.00","        800.50","        782.00","        789.50","        789.80","        790.62","    2748271","          2172842111.60","      64872","     695647","         25.31"
"CIPLA","EQ","02-Mar-2021","        789.80","        792.60","        815.00","        790.80","        811.00","        811.80","        803.68","    4275166","          3435846455.75","      95827","    1326752","         31.03"
"CIPLA","EQ","03-Mar-2021","        811.80","        817.95","        818.15","        807.60","        813.00","        812.50","        812.28","    3265559","          2652563520.35","      69160","    1009048","         30.90"
"CIPLA","EQ","04-Mar-2021","        812.50","        807.40","        818.00","        803.70","        808.00","        806.75","        809.86","    3640996","          2948688564.10","      71825","    1204566","         33.08"
"CIPLA","EQ","05-Mar-2021","        806.75","        806.50","        812.00","        800.25","        806.00","        805.15","        807.14","    3832170","          3093115422.00","      70610","    2023773","         52.81"
"CIPLA","EQ","08-Mar-2021","        805.15","        807.95","        819.00","        806.20","        809.40","        809.25","        813.70","    2915298","          2372171350.60","      57339","     829320","         28.45"
"CIPLA","EQ","09-Mar-2021","        809.25","        812.60","        816.70","        792.10","        799.20","        797.00","        801.86","    2783825","          2232225189.00","      60843","    1042338","         37.44"
"CIPLA","EQ","10-Mar-2021","        797.00","        806.00","        814.75","        801.00","        811.00","        812.40","        807.67","    2512573","          2029319225.35","      50425","     753186","         29.98"
"CIPLA","EQ","12-Mar-2021","        812.40","        816.50","        818.70","        802.00","        804.25","        805.95","        811.07","    2082799","          1689289459.90","      53575","     722426","         34.69"
"CIPLA","EQ","15-Mar-2021","        805.95","        807.90","        808.90","        790.00","        803.35","        805.50","        799.38","    2651062","          2119201259.75","      53714","     841116","         31.73"
"CIPLA","EQ","16-Mar-2021","        805.50","        805.10","        808.50","        787.00","        792.85","        792.30","        795.26","    3671229","          2919573057.30","      67773","    1354897","         36.91"
"CIPLA","EQ","17-Mar-2021","        792.30","        794.80","        794.80","        770.00","        770.00","        772.15","        779.28","    3246092","          2529602963.75","      55307","    1293735","         39.86"
"CIPLA","EQ","18-Mar-2021","        772.15","        776.00","        778.45","        750.85","        758.00","        755.15","        763.23","    2894624","          2209261613.70","      71821","    1030659","         35.61"
"CIPLA","EQ","19-Mar-2021","        755.15","        751.00","        767.25","        738.10","        761.00","        760.65","        757.35","    5262000","          3985174228.60","      87583","    2584091","         49.11"
"CIPLA","EQ","22-Mar-2021","        760.65","        762.00","        784.60","        758.70","        772.00","        772.85","        774.43","    3563266","          2759513577.60","      88441","    1112403","         31.22"
"CIPLA","EQ","23-Mar-2021","        772.85","        775.00","        779.40","        768.40","        776.85","        776.10","        774.86","    2118532","          1641558986.60","      56376","     610420","         28.81"
"CIPLA","EQ","24-Mar-2021","        776.10","        777.80","        798.70","        772.65","        791.00","        792.95","        789.82","    6904173","          5453024598.75","     118668","    1808708","         26.20"
"CIPLA","EQ","25-Mar-2021","        792.95","        796.90","        802.30","        783.30","        788.65","        787.25","        791.95","    5292130","          4191119320.20","     105987","    1535589","         29.02"
"CIPLA","EQ","26-Mar-2021","        787.25","        791.00","        799.00","        781.25","        790.00","        787.45","        789.54","    2934548","          2316946351.35","      59596","     987183","         33.64"
"CIPLA","EQ","30-Mar-2021","        787.45","        790.25","        815.90","        790.25","        810.00","        812.20","        808.03","    4453933","          3598929231.55","     125974","    1578325","         35.44"
"CIPLA","EQ","31-Mar-2021","        812.20","        811.00","        823.95","        805.00","        813.95","        815.10","        817.28","    3075406","          2513459042.65","     102145","     819904","         26.66"
"CIPLA","EQ","01-Apr-2021","        815.10","        819.50","        824.00","        811.60","        818.00","        818.30","        818.32","    1910949","          1563771915.30","      39715","     570752","         29.87"
"CIPLA","EQ","05-Apr-2021","        818.30","        825.00","        827.00","        806.10","        820.00","        819.75","        815.61","    2920638","          2382108657.40","      59161","     780655","         26.73"
"CIPLA","EQ","06-Apr-2021","        819.75","        824.00","        845.00","        821.85","        835.70","        836.15","        833.50","    4569120","          3808341443.75","      96945","    1046728","         22.91"
"CIPLA","EQ","07-Apr-2021","        836.15","        836.15","        844.90","        830.25","        838.00","        840.85","        839.40","    2404472","          2018308718.80","      71257","     796768","         33.14"
"CIPLA","EQ","08-Apr-2021","        840.85","        843.00","        850.45","        838.40","        841.00","        842.00","        844.77","    2459821","          2077988300.30","      54329","     953942","         38.78"
"CIPLA","EQ","09-Apr-2021","        842.00","        840.90","        892.30","        836.65","        886.95","        883.05","        875.25","   11189432","          9793506835.20","     176022","    1880106","         16.80"
