"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DIVISLAB","EQ","19-Feb-2021","       3587.65","       3588.00","       3605.00","       3490.00","       3534.00","       3523.20","       3544.81","     745416","          2642358577.25","      51637","     248985","         33.40"
"DIVISLAB","EQ","22-Feb-2021","       3523.20","       3510.00","       3563.00","       3475.00","       3479.25","       3496.65","       3519.26","     846786","          2980056839.35","      70420","     277587","         32.78"
"DIVISLAB","EQ","23-Feb-2021","       3496.65","       3485.00","       3519.00","       3440.85","       3445.00","       3448.25","       3467.84","     511326","          1773198409.95","      47559","     165046","         32.28"
"DIVISLAB","EQ","24-Feb-2021","       3448.25","       3496.90","       3509.80","       3412.40","       3481.00","       3480.05","       3473.09","     409153","          1421023191.95","      34143","     183567","         44.87"
"DIVISLAB","EQ","25-Feb-2021","       3480.05","       3477.25","       3513.50","       3432.00","       3436.40","       3440.05","       3468.70","     876984","          3041996565.25","      66357","     471003","         53.71"
"DIVISLAB","EQ","26-Feb-2021","       3440.05","       3419.50","       3485.90","       3326.40","       3364.00","       3363.10","       3397.50","    1701176","          5779743009.75","     103872","     950437","         55.87"
"DIVISLAB","EQ","01-Mar-2021","       3363.10","       3396.70","       3485.00","       3381.35","       3475.00","       3461.55","       3429.54","     660836","          2266360848.05","      58564","     277342","         41.97"
"DIVISLAB","EQ","02-Mar-2021","       3461.55","       3470.00","       3521.95","       3455.50","       3518.25","       3516.90","       3487.18","     724413","          2526160633.25","      52824","     304313","         42.01"
"DIVISLAB","EQ","03-Mar-2021","       3516.90","       3560.00","       3573.20","       3500.55","       3560.10","       3565.15","       3542.37","     725617","          2570400335.65","      36533","     318347","         43.87"
"DIVISLAB","EQ","04-Mar-2021","       3565.15","       3550.00","       3571.00","       3494.05","       3555.75","       3553.45","       3542.38","     640664","          2269473535.05","      46064","     294398","         45.95"
"DIVISLAB","EQ","05-Mar-2021","       3553.45","       3518.00","       3550.00","       3490.00","       3502.00","       3496.90","       3519.70","     390702","          1375153668.20","      43060","     172540","         44.16"
"DIVISLAB","EQ","08-Mar-2021","       3496.90","       3522.35","       3548.95","       3501.00","       3507.90","       3507.70","       3523.27","     372681","          1313057467.75","      26287","     118819","         31.88"
"DIVISLAB","EQ","09-Mar-2021","       3507.70","       3567.80","       3567.80","       3461.50","       3501.40","       3503.20","       3506.49","     442271","          1550819926.40","      36144","     219101","         49.54"
"DIVISLAB","EQ","10-Mar-2021","       3503.20","       3510.00","       3543.85","       3482.25","       3530.00","       3528.10","       3522.62","     421799","          1485836480.30","      37733","     200120","         47.44"
"DIVISLAB","EQ","12-Mar-2021","       3528.10","       3532.50","       3564.85","       3503.55","       3509.25","       3512.05","       3536.22","     600323","          2122876958.55","      57379","     319654","         53.25"
"DIVISLAB","EQ","15-Mar-2021","       3512.05","       3526.00","       3526.00","       3371.00","       3410.00","       3411.00","       3424.71","     834366","          2857459829.05","      75584","     428682","         51.38"
"DIVISLAB","EQ","16-Mar-2021","       3411.00","       3429.90","       3436.00","       3361.05","       3379.00","       3378.25","       3383.34","     793917","          2686093991.85","      65869","     457380","         57.61"
"DIVISLAB","EQ","17-Mar-2021","       3378.25","       3390.00","       3392.35","       3345.10","       3365.75","       3378.30","       3368.92","     547364","          1844028174.65","      46072","     295744","         54.03"
"DIVISLAB","EQ","18-Mar-2021","       3378.30","       3398.95","       3398.95","       3255.10","       3277.00","       3272.90","       3318.55","     622941","          2067260285.35","      61939","     184513","         29.62"
"DIVISLAB","EQ","19-Mar-2021","       3272.90","       3272.00","       3406.55","       3153.30","       3372.00","       3370.30","       3308.21","    1744235","          5770298428.50","     124695","     983068","         56.36"
"DIVISLAB","EQ","22-Mar-2021","       3370.30","       3371.35","       3444.00","       3350.55","       3403.45","       3405.95","       3421.26","     748535","          2560935332.10","      63065","     350328","         46.80"
"DIVISLAB","EQ","23-Mar-2021","       3405.95","       3418.00","       3509.90","       3403.05","       3493.00","       3495.95","       3474.98","     787152","          2735340424.70","      69411","     387285","         49.20"
