"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IPCALAB","EQ","19-Feb-2021","       1867.75","       1860.00","       1863.80","       1840.00","       1845.00","       1849.55","       1851.09","     192145","           355678008.10","      15880","     114841","         59.77"
"IPCALAB","EQ","22-Feb-2021","       1849.55","       1839.90","       1857.70","       1810.00","       1820.00","       1817.90","       1823.63","     202208","           368753440.55","      20881","     113972","         56.36"
"IPCALAB","EQ","23-Feb-2021","       1817.90","       1826.00","       1832.00","       1785.40","       1806.00","       1800.90","       1802.37","     274754","           495207246.70","      19306","     187514","         68.25"
"IPCALAB","EQ","24-Feb-2021","       1800.90","       1809.95","       1883.95","       1803.65","       1859.85","       1865.90","       1842.74","     162852","           300093809.60","      11336","     105445","         64.75"
"IPCALAB","EQ","25-Feb-2021","       1865.90","       1866.00","       1884.50","       1848.90","       1865.00","       1866.80","       1865.12","     297034","           554004073.65","      29692","     138916","         46.77"
"IPCALAB","EQ","26-Feb-2021","       1866.80","       1851.20","       1863.75","       1820.05","       1846.95","       1849.55","       1844.93","     371920","           686165255.30","      34812","     210509","         56.60"
"IPCALAB","EQ","01-Mar-2021","       1849.55","       1840.55","       1925.00","       1822.25","       1919.05","       1903.10","       1873.72","     236754","           443609803.30","      26913","     139213","         58.80"
"IPCALAB","EQ","02-Mar-2021","       1903.10","       1925.00","       1929.00","       1851.50","       1901.00","       1907.05","       1877.28","     345257","           648143240.25","      26956","     198799","         57.58"
"IPCALAB","EQ","03-Mar-2021","       1907.05","       1871.00","       1972.75","       1871.00","       1955.00","       1961.75","       1938.74","     295152","           572224452.80","      29458","     145591","         49.33"
"IPCALAB","EQ","04-Mar-2021","       1961.75","       1942.00","       1949.90","       1916.10","       1925.65","       1934.70","       1928.41","     367471","           708635120.60","      29511","     210530","         57.29"
"IPCALAB","EQ","05-Mar-2021","       1934.70","       1913.10","       1927.80","       1908.30","       1917.15","       1923.45","       1918.74","     231439","           444070745.20","      23380","     143289","         61.91"
"IPCALAB","EQ","08-Mar-2021","       1923.45","       1929.80","       1946.50","       1916.05","       1923.90","       1932.85","       1929.80","      97120","           187422007.25","      10640","      31798","         32.74"
"IPCALAB","EQ","09-Mar-2021","       1932.85","       1939.85","       1965.00","       1914.50","       1930.00","       1940.75","       1934.33","     207896","           402139567.55","      16456","      85984","         41.36"
"IPCALAB","EQ","10-Mar-2021","       1940.75","       1948.90","       1948.90","       1920.00","       1925.00","       1938.75","       1926.82","     153284","           295351306.40","      10764","     101011","         65.90"
"IPCALAB","EQ","12-Mar-2021","       1938.75","       1940.10","       1964.95","       1926.00","       1947.20","       1952.65","       1951.18","     181015","           353192304.35","      21779","     117761","         65.06"
"IPCALAB","EQ","15-Mar-2021","       1952.65","       1947.20","       1952.65","       1907.15","       1919.80","       1919.80","       1918.67","     231223","           443640715.25","      15084","     175890","         76.07"
"IPCALAB","EQ","16-Mar-2021","       1919.80","       1919.80","       1929.85","       1910.80","       1920.00","       1919.25","       1918.80","     161538","           309958323.20","      12715","     101168","         62.63"
"IPCALAB","EQ","17-Mar-2021","       1919.25","       1918.90","       1927.55","       1884.10","       1885.00","       1890.55","       1912.24","     141644","           270856832.45","       9493","     101775","         71.85"
"IPCALAB","EQ","18-Mar-2021","       1890.55","       1891.00","       1914.95","       1825.45","       1862.00","       1864.60","       1859.60","     297365","           552979255.75","      14469","     197486","         66.41"
"IPCALAB","EQ","19-Mar-2021","       1864.60","       1859.00","       1861.95","       1800.30","       1851.00","       1839.15","       1837.85","     441329","           811094946.25","      21738","     258825","         58.65"
"IPCALAB","EQ","22-Mar-2021","       1839.15","       1855.05","       1895.00","       1816.15","       1837.00","       1832.40","       1838.26","     237581","           436736412.50","      21678","     131868","         55.50"
"IPCALAB","EQ","23-Mar-2021","       1832.40","       1842.00","       1845.00","       1817.10","       1830.00","       1837.70","       1832.28","     286117","           524245803.30","      20202","     207864","         72.65"
"IPCALAB","EQ","24-Mar-2021","       1837.70","       1830.00","       1849.00","       1818.15","       1845.00","       1840.40","       1836.53","     138988","           255255902.70","      10174","      69195","         49.78"
"IPCALAB","EQ","25-Mar-2021","       1840.40","       1840.20","       1878.90","       1839.80","       1860.00","       1854.90","       1857.48","     287901","           534769616.40","      15052","     163898","         56.93"
"IPCALAB","EQ","26-Mar-2021","       1854.90","       1850.00","       1865.45","       1841.00","       1862.00","       1859.90","       1859.15","     134907","           250812031.85","      12712","      88937","         65.92"
"IPCALAB","EQ","30-Mar-2021","       1859.90","       1899.00","       1945.00","       1866.00","       1888.60","       1890.00","       1911.12","     277545","           530422231.25","      25499","     100273","         36.13"
"IPCALAB","EQ","31-Mar-2021","       1890.00","       1899.00","       1920.05","       1881.55","       1912.00","       1903.75","       1905.08","     164272","           312950837.80","      15112","      92796","         56.49"
"IPCALAB","EQ","01-Apr-2021","       1903.75","       1909.80","       1915.00","       1871.10","       1886.00","       1882.00","       1883.98","     119222","           224612379.50","      14607","      67418","         56.55"
"IPCALAB","EQ","05-Apr-2021","       1882.00","       1882.00","       1893.00","       1833.35","       1875.00","       1875.55","       1866.34","     103238","           192677060.65","      12124","      49747","         48.19"
"IPCALAB","EQ","06-Apr-2021","       1875.55","       1879.80","       1956.00","       1876.15","       1948.00","       1939.25","       1928.46","     334511","           645089925.20","      20528","     209534","         62.64"
"IPCALAB","EQ","07-Apr-2021","       1939.25","       1947.00","       2039.90","       1945.00","       2005.05","       2027.00","       2013.92","     497999","          1002932114.95","      36937","     176053","         35.35"
