"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LUPIN","EQ","19-Feb-2021","       1049.20","       1045.00","       1056.15","       1016.00","       1021.00","       1021.70","       1039.68","    2810229","          2921751270.65","      50167","     484935","         17.26"
"LUPIN","EQ","22-Feb-2021","       1021.70","       1027.00","       1029.50","        985.05","        987.90","        995.50","       1012.60","    3455281","          3498813815.05","      57396","    1105952","         32.01"
"LUPIN","EQ","23-Feb-2021","        995.50","        997.75","       1014.90","        985.65","       1008.95","       1010.50","       1004.00","    2348666","          2358055658.15","      39298","     575246","         24.49"
"LUPIN","EQ","24-Feb-2021","       1010.50","       1016.00","       1019.55","        990.10","       1011.00","       1008.30","       1007.22","     947886","           954729464.50","      20496","     243797","         25.72"
"LUPIN","EQ","25-Feb-2021","       1008.30","       1021.95","       1040.50","       1015.00","       1030.00","       1024.60","       1030.10","    3311836","          3411526946.00","      67991","    1262716","         38.13"
"LUPIN","EQ","26-Feb-2021","       1024.60","       1011.05","       1059.95","       1003.25","       1012.20","       1018.35","       1037.28","    5624216","          5833893932.25","     114799","    1596610","         28.39"
"LUPIN","EQ","01-Mar-2021","       1018.35","       1023.45","       1034.90","       1011.00","       1024.00","       1023.15","       1023.63","    1824557","          1867672691.85","      29505","     360002","         19.73"
"LUPIN","EQ","02-Mar-2021","       1023.15","       1026.80","       1057.60","       1026.80","       1052.00","       1054.60","       1044.64","    2072406","          2164926419.65","      41553","     531165","         25.63"
"LUPIN","EQ","03-Mar-2021","       1054.60","       1062.00","       1064.70","       1046.10","       1057.00","       1060.95","       1056.49","    1746036","          1844669832.20","      29027","     411177","         23.55"
"LUPIN","EQ","04-Mar-2021","       1060.95","       1051.00","       1067.80","       1041.10","       1051.90","       1048.40","       1057.15","    1614429","          1706700473.65","      31015","     449022","         27.81"
"LUPIN","EQ","05-Mar-2021","       1048.40","       1048.00","       1053.45","       1029.95","       1034.95","       1033.25","       1041.98","    1716704","          1788778947.00","      27948","     636924","         37.10"
"LUPIN","EQ","08-Mar-2021","       1033.25","       1035.95","       1064.25","       1032.90","       1050.15","       1050.45","       1051.63","    1409325","          1482083213.60","      35431","     310358","         22.02"
"LUPIN","EQ","09-Mar-2021","       1050.45","       1054.45","       1058.95","       1013.50","       1033.00","       1031.85","       1037.00","    1655727","          1716994147.65","      29589","     613321","         37.04"
"LUPIN","EQ","10-Mar-2021","       1031.85","       1041.00","       1061.50","       1035.10","       1056.25","       1057.75","       1051.44","    1598764","          1681002839.55","      30676","     422435","         26.42"
"LUPIN","EQ","12-Mar-2021","       1057.75","       1064.00","       1064.00","       1042.90","       1048.00","       1049.50","       1052.41","    1759310","          1851520545.40","      28712","     444430","         25.26"
"LUPIN","EQ","15-Mar-2021","       1049.50","       1043.50","       1067.65","       1026.00","       1061.00","       1062.70","       1047.74","    1473205","          1543529790.35","      24852","     389992","         26.47"
"LUPIN","EQ","16-Mar-2021","       1062.70","       1065.05","       1066.95","       1041.80","       1051.80","       1053.65","       1053.60","    1459172","          1537377193.05","      36619","     433589","         29.71"
"LUPIN","EQ","17-Mar-2021","       1053.65","       1050.70","       1052.95","       1015.00","       1017.90","       1020.90","       1031.48","    1559383","          1608465560.75","      23995","     624225","         40.03"
"LUPIN","EQ","18-Mar-2021","       1020.90","       1026.00","       1027.65","        988.00","       1002.00","        999.85","       1007.59","    1717139","          1730167999.05","      33179","     465587","         27.11"
"LUPIN","EQ","19-Mar-2021","        999.85","        993.85","       1017.25","        978.30","       1003.00","       1005.10","       1001.62","    1723946","          1726730845.05","      28094","     407251","         23.62"
"LUPIN","EQ","22-Mar-2021","       1005.10","       1005.10","       1019.60","       1000.00","       1017.00","       1015.70","       1009.75","    1736883","          1753814833.70","      28682","     686481","         39.52"
"LUPIN","EQ","23-Mar-2021","       1015.70","       1015.00","       1019.05","       1002.00","       1009.35","       1014.85","       1009.83","    1438957","          1453101970.80","      23801","     567670","         39.45"
"LUPIN","EQ","24-Mar-2021","       1014.85","       1008.85","       1027.45","       1004.75","       1011.50","       1012.40","       1018.71","    1513475","          1541799340.60","      23692","     297554","         19.66"
