"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NATCOPHARM","EQ","19-Feb-2021","        790.40","        791.00","        823.75","        771.50","        815.00","        814.70","        798.95","    1365681","          1091110293.00","      52414","     684130","         50.09"
"NATCOPHARM","EQ","22-Feb-2021","        814.70","        815.00","        825.95","        787.25","        796.50","        794.70","        800.97","     480445","           384824360.00","      17262","     208331","         43.36"
"NATCOPHARM","EQ","23-Feb-2021","        794.70","        798.85","        824.55","        788.00","        820.80","        820.35","        814.61","     352674","           287291157.65","      13479","     148089","         41.99"
"NATCOPHARM","EQ","24-Feb-2021","        820.35","        825.80","        829.80","        801.00","        807.00","        805.75","        814.17","     129939","           105792239.25","       5655","      52786","         40.62"
"NATCOPHARM","EQ","25-Feb-2021","        805.75","        811.00","        824.25","        796.05","        801.00","        802.30","        808.79","     315590","           255244581.80","      10971","     115148","         36.49"
"NATCOPHARM","EQ","26-Feb-2021","        802.30","        803.55","        820.00","        793.20","        811.00","        811.35","        808.27","     376136","           304018269.60","      13649","     108400","         28.82"
"NATCOPHARM","EQ","01-Mar-2021","        811.35","        816.00","        825.00","        806.45","        819.20","        820.75","        818.12","     207283","           169583197.10","      12009","      98575","         47.56"
"NATCOPHARM","EQ","02-Mar-2021","        820.75","        825.00","        825.00","        799.05","        805.65","        802.20","        807.78","     323291","           261147398.20","      14523","     175745","         54.36"
"NATCOPHARM","EQ","03-Mar-2021","        802.20","        810.00","        811.95","        801.00","        805.90","        804.25","        804.10","     388142","           312104881.70","      16389","     210211","         54.16"
"NATCOPHARM","EQ","04-Mar-2021","        804.25","        804.00","        857.00","        802.10","        840.10","        837.65","        834.11","     905440","           755234185.95","      21152","     380738","         42.05"
"NATCOPHARM","EQ","05-Mar-2021","        837.65","        841.05","        853.00","        823.10","        832.00","        833.80","        840.66","     390122","           327961113.30","      15629","     199558","         51.15"
"NATCOPHARM","EQ","08-Mar-2021","        833.80","        838.15","        898.80","        838.15","        854.05","        851.55","        874.48","    1844515","          1612993414.25","      66236","     399258","         21.65"
"NATCOPHARM","EQ","09-Mar-2021","        851.55","        861.80","        866.60","        823.00","        850.00","        845.05","        844.09","     392825","           331578013.30","      13471","     157429","         40.08"
"NATCOPHARM","EQ","10-Mar-2021","        845.05","        850.10","        855.00","        820.60","        825.30","        824.60","        831.23","     336704","           279879989.55","      19418","     161965","         48.10"
"NATCOPHARM","EQ","12-Mar-2021","        824.60","        831.95","        847.40","        815.65","        825.00","        825.10","        829.23","     423232","           350958210.45","      21615","     201794","         47.68"
"NATCOPHARM","EQ","15-Mar-2021","        825.10","        831.80","        832.40","        808.05","        824.30","        826.95","        819.28","     199587","           163516933.75","       7227","      67395","         33.77"
"NATCOPHARM","EQ","16-Mar-2021","        826.95","        831.10","        831.95","        810.35","        815.80","        816.30","        819.43","     282536","           231517893.15","      10326","     162471","         57.50"
"NATCOPHARM","EQ","17-Mar-2021","        816.30","        820.40","        824.95","        813.00","        820.20","        820.60","        819.51","     231446","           189671537.70","       5009","     159924","         69.10"
