,Symbol,LogisticRegression,DecisionTreeClassifier,LinearDiscriminantAnalysis,GaussianNB,SVC
0,ABBOTINDIA,68.75,57.291666666666664,63.541666666666664,31.25,68.75
1,ALKEM,45.83333333333333,57.291666666666664,52.083333333333336,45.83333333333333,54.166666666666664
2,APLLTD,47.91666666666667,48.95833333333333,47.91666666666667,47.91666666666667,48.95833333333333
3,AUROPHARMA,69.0721649484536,35.051546391752574,52.57731958762887,71.1340206185567,71.1340206185567
4,BIOCON,59.79381443298969,47.42268041237113,59.79381443298969,61.855670103092784,59.79381443298969
5,CIPLA,63.91752577319587,47.42268041237113,58.76288659793815,64.94845360824742,63.91752577319587
6,DIVISLAB,44.79166666666667,53.125,63.541666666666664,67.70833333333334,67.70833333333334
7,DRREDDY,57.73195876288659,47.42268041237113,57.73195876288659,57.73195876288659,57.73195876288659
8,GLENMARK,61.458333333333336,59.375,61.458333333333336,61.458333333333336,61.458333333333336
9,GRANULES,61.458333333333336,44.79166666666667,61.458333333333336,61.458333333333336,61.458333333333336
10,IPCALAB,58.76288659793815,51.546391752577314,58.76288659793815,58.76288659793815,58.76288659793815
11,LAURUSLABS,64.58333333333334,57.291666666666664,56.25,64.58333333333334,64.58333333333334
12,LUPIN,30.927835051546392,65.97938144329896,67.0103092783505,30.927835051546392,69.0721649484536
13,NATCOPHARM,64.58333333333334,52.083333333333336,57.291666666666664,64.58333333333334,64.58333333333334
14,STAR,63.91752577319587,51.546391752577314,64.94845360824742,68.04123711340206,68.04123711340206
15,SUNPHARMA,55.670103092783506,53.608247422680414,44.329896907216494,44.329896907216494,55.670103092783506
16,TORNTPHARM,55.670103092783506,50.51546391752577,58.76288659793815,55.670103092783506,55.670103092783506
17,CADILAHC,69.79166666666666,37.5,56.25,40.625,71.875
18,PFIZER,54.166666666666664,58.333333333333336,54.166666666666664,62.5,54.166666666666664
19,Combined,57.831434255742444,51.39774371495749,57.717828721287766,55.858880448544035,61.97379725085912
