,Symbol,LogisticRegression,DecisionTreeClassifier,LinearDiscriminantAnalysis,GaussianNB,SVC
0,ABBOTINDIA,68.75,57.291666666666664,30.208333333333332,31.25,31.25
1,ALKEM,37.5,52.083333333333336,47.91666666666667,37.5,37.5
2,APLLTD,57.291666666666664,43.75,57.291666666666664,57.291666666666664,57.291666666666664
3,AUROPHARMA,62.88659793814433,38.144329896907216,56.70103092783505,62.88659793814433,62.88659793814433
4,BIOCON,61.855670103092784,42.2680412371134,52.57731958762887,43.29896907216495,50.51546391752577
5,CIPLA,58.76288659793815,56.70103092783505,56.70103092783505,42.2680412371134,58.76288659793815
6,DIVISLAB,52.083333333333336,40.625,61.458333333333336,40.625,40.625
7,DRREDDY,53.608247422680414,54.63917525773196,52.57731958762887,51.546391752577314,56.70103092783505
8,GLENMARK,53.125,51.041666666666664,51.041666666666664,53.125,53.125
9,GRANULES,54.166666666666664,48.95833333333333,54.166666666666664,54.166666666666664,54.166666666666664
10,IPCALAB,38.144329896907216,57.73195876288659,48.45360824742268,37.11340206185567,59.79381443298969
11,LAURUSLABS,55.208333333333336,52.083333333333336,53.125,55.208333333333336,55.208333333333336
12,LUPIN,39.175257731958766,45.36082474226804,57.73195876288659,39.175257731958766,47.42268041237113
13,NATCOPHARM,47.91666666666667,50.0,50.0,47.91666666666667,47.91666666666667
14,STAR,62.88659793814433,40.20618556701031,62.88659793814433,62.88659793814433,62.88659793814433
15,SUNPHARMA,45.36082474226804,48.45360824742268,50.51546391752577,45.36082474226804,48.45360824742268
16,TORNTPHARM,56.70103092783505,51.546391752577314,55.670103092783506,56.70103092783505,56.70103092783505
17,CADILAHC,64.58333333333334,60.416666666666664,63.541666666666664,64.58333333333334,64.58333333333334
18,PFIZER,66.66666666666666,57.291666666666664,52.083333333333336,62.5,66.66666666666666
19,Combined,54.56174262977031,49.925958582022055,53.40251401700127,49.75809368782782,53.28721287755471
