,Symbol,LogisticRegression,DecisionTreeClassifier,LinearDiscriminantAnalysis,GaussianNB,SVC
0,ABBOTINDIA,68.75,37.5,70.83333333333334,63.541666666666664,63.541666666666664
1,ALKEM,54.166666666666664,54.166666666666664,55.208333333333336,53.125,54.166666666666664
2,APLLTD,53.125,44.79166666666667,47.91666666666667,48.95833333333333,52.083333333333336
3,AUROPHARMA,69.0721649484536,37.11340206185567,69.0721649484536,63.91752577319587,71.1340206185567
4,BIOCON,61.855670103092784,44.329896907216494,60.824742268041234,61.855670103092784,59.79381443298969
5,CIPLA,63.91752577319587,56.70103092783505,63.91752577319587,61.855670103092784,63.91752577319587
6,DIVISLAB,67.70833333333334,52.083333333333336,64.58333333333334,59.375,67.70833333333334
7,DRREDDY,57.73195876288659,48.45360824742268,57.73195876288659,58.76288659793815,57.73195876288659
8,GLENMARK,61.458333333333336,56.25,61.458333333333336,62.5,61.458333333333336
9,GRANULES,61.458333333333336,48.95833333333333,62.5,63.541666666666664,61.458333333333336
10,IPCALAB,57.73195876288659,46.391752577319586,58.76288659793815,53.608247422680414,58.76288659793815
11,LAURUSLABS,64.58333333333334,57.291666666666664,65.625,65.625,64.58333333333334
12,LUPIN,67.0103092783505,63.91752577319587,60.824742268041234,67.0103092783505,69.0721649484536
13,NATCOPHARM,58.333333333333336,50.0,57.291666666666664,61.458333333333336,64.58333333333334
14,STAR,57.73195876288659,68.04123711340206,47.42268041237113,42.2680412371134,68.04123711340206
15,SUNPHARMA,53.608247422680414,55.670103092783506,53.608247422680414,55.670103092783506,55.670103092783506
16,TORNTPHARM,58.76288659793815,44.329896907216494,54.63917525773196,42.2680412371134,55.670103092783506
17,CADILAHC,68.75,47.91666666666667,56.25,36.45833333333333,71.875
18,PFIZER,54.166666666666664,56.25,50.0,38.54166666666667,54.166666666666664
19,Combined,61.04856212696691,51.06088352324109,58.86688370410562,55.80744709712425,61.8641481280521
