,Symbol,LogisticRegression,DecisionTreeClassifier,LinearDiscriminantAnalysis,GaussianNB,SVC
0,ABBOTINDIA,48.95833333333333,56.25,55.208333333333336,51.041666666666664,63.541666666666664
1,ALKEM,61.458333333333336,45.83333333333333,62.5,54.166666666666664,61.458333333333336
2,APLLTD,57.291666666666664,50.0,58.333333333333336,55.208333333333336,56.25
3,AUROPHARMA,54.63917525773196,38.144329896907216,53.608247422680414,48.45360824742268,60.824742268041234
4,BIOCON,48.45360824742268,45.36082474226804,49.48453608247423,53.608247422680414,56.70103092783505
5,CIPLA,50.51546391752577,57.73195876288659,50.51546391752577,60.824742268041234,57.73195876288659
6,DIVISLAB,52.083333333333336,40.625,55.208333333333336,59.375,59.375
7,DRREDDY,51.546391752577314,53.608247422680414,50.51546391752577,50.51546391752577,49.48453608247423
8,GLENMARK,47.91666666666667,55.208333333333336,50.0,56.25,51.041666666666664
9,GRANULES,54.166666666666664,47.91666666666667,54.166666666666664,47.91666666666667,54.166666666666664
10,IPCALAB,56.70103092783505,55.670103092783506,57.73195876288659,59.79381443298969,59.79381443298969
11,LAURUSLABS,58.333333333333336,55.208333333333336,56.25,56.25,58.333333333333336
12,LUPIN,55.670103092783506,43.29896907216495,54.63917525773196,60.824742268041234,57.73195876288659
13,NATCOPHARM,48.95833333333333,48.95833333333333,46.875,48.95833333333333,47.91666666666667
14,STAR,62.88659793814433,42.2680412371134,62.88659793814433,52.57731958762887,62.88659793814433
15,SUNPHARMA,47.42268041237113,49.48453608247423,47.42268041237113,46.391752577319586,45.36082474226804
16,TORNTPHARM,54.63917525773196,55.670103092783506,53.608247422680414,55.670103092783506,56.70103092783505
17,CADILAHC,56.25,62.5,62.5,56.25,61.458333333333336
18,PFIZER,59.375,55.208333333333336,58.333333333333336,50.0,59.375
19,Combined,54.06662597214686,50.47081298607344,54.72565111231687,53.89876107795262,56.849113763790925
