"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABBOTINDIA","EQ","02-Mar-2020","      15718.95","      15875.00","      16099.90","      15210.00","      15400.00","      15393.60","      15655.21","      15393","           240980627.00","       4211","       8535","         55.45"
"ABBOTINDIA","EQ","03-Mar-2020","      15393.60","      15407.00","      15780.00","      15301.00","      15440.00","      15427.65","      15502.15","      18862","           292401477.45","       4187","      10337","         54.80"
"ABBOTINDIA","EQ","04-Mar-2020","      15427.65","      15562.00","      15562.00","      14500.00","      15010.00","      14992.30","      14998.46","      15287","           229281431.10","       5831","       7182","         46.98"
"ABBOTINDIA","EQ","05-Mar-2020","      14992.30","      15050.00","      15293.95","      14721.05","      14997.00","      14853.55","      14883.53","      14482","           215543270.80","       5180","       8149","         56.27"
"ABBOTINDIA","EQ","06-Mar-2020","      14853.55","      14400.00","      15725.00","      14301.00","      15725.00","      15589.15","      15097.47","      16165","           244050636.25","       5256","       7885","         48.78"
"ABBOTINDIA","EQ","09-Mar-2020","      15589.15","      15698.95","      15877.40","      14680.10","      14805.05","      14930.85","      15086.80","      23285","           351296229.10","       6922","      13551","         58.20"
"ABBOTINDIA","EQ","11-Mar-2020","      14930.85","      14870.00","      15298.80","      14620.25","      14621.00","      14662.25","      14753.77","      18053","           266349875.45","       4205","      13191","         73.07"
"ABBOTINDIA","EQ","12-Mar-2020","      14662.25","      14031.00","      14443.00","      12711.05","      13920.00","      13874.85","      13664.84","      51579","           704818883.15","      14444","      30756","         59.63"
"ABBOTINDIA","EQ","13-Mar-2020","      13874.85","      12700.00","      15499.00","      12600.00","      15001.00","      14973.95","      14529.62","      45797","           665412875.95","      14408","      26811","         58.54"
"ABBOTINDIA","EQ","16-Mar-2020","      14973.95","      14900.00","      14900.00","      14200.00","      14475.00","      14421.55","      14444.91","      17679","           255371485.10","       5932","       9249","         52.32"
"ABBOTINDIA","EQ","17-Mar-2020","      14421.55","      14425.00","      15085.10","      14150.00","      14880.00","      14904.65","      14846.13","      26904","           399420190.35","       5468","      20073","         74.61"
