"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PFIZER","EQ","02-Mar-2020","       4194.10","       4195.00","       4290.00","       4180.25","       4230.00","       4247.10","       4239.30","      26784","           113545533.05","       6122","      15265","         56.99"
"PFIZER","EQ","03-Mar-2020","       4247.10","       4247.10","       4925.00","       4247.10","       4437.10","       4422.85","       4606.99","     599746","          2763023119.35","      78038","      93103","         15.52"
"PFIZER","EQ","04-Mar-2020","       4422.85","       4500.00","       4580.00","       4343.00","       4386.00","       4401.80","       4423.11","     149977","           663365254.25","      20871","      65600","         43.74"
"PFIZER","EQ","05-Mar-2020","       4401.80","       4453.40","       4481.95","       4370.00","       4392.00","       4411.45","       4412.53","      41683","           183927413.75","       7027","      14282","         34.26"
"PFIZER","EQ","06-Mar-2020","       4411.45","       4380.00","       4470.00","       4211.00","       4450.00","       4412.30","       4353.73","      43421","           189043259.65","       9718","      16219","         37.35"
"PFIZER","EQ","09-Mar-2020","       4412.30","       4401.00","       4439.85","       4232.25","       4300.00","       4307.05","       4313.66","      55796","           240684784.85","      11435","      25234","         45.23"
"PFIZER","EQ","11-Mar-2020","       4307.05","       4333.90","       4370.00","       4230.05","       4269.00","       4277.10","       4286.21","      36516","           156515078.60","       8034","      15554","         42.60"
"PFIZER","EQ","12-Mar-2020","       4277.10","       4149.00","       4191.50","       3949.70","       4161.00","       4160.60","       4095.14","      80813","           330940840.40","      15651","      39386","         48.74"
"PFIZER","EQ","13-Mar-2020","       4160.60","       3815.00","       4345.00","       3461.00","       4310.05","       4276.95","       4073.01","      77191","           314399585.20","      15287","      26116","         33.83"
"PFIZER","EQ","16-Mar-2020","       4276.95","       4280.00","       4389.00","       4160.00","       4170.00","       4235.10","       4304.73","      47705","           205357323.60","       9710","      18647","         39.09"
"PFIZER","EQ","17-Mar-2020","       4235.10","       4165.00","       4252.05","       4117.05","       4162.90","       4183.55","       4182.41","      38317","           160257275.70","       8345","      14466","         37.75"
"PFIZER","EQ","18-Mar-2020","       4183.55","       4250.00","       4294.95","       4000.00","       4009.05","       4022.65","       4134.14","      35072","           144992563.45","       7628","      16982","         48.42"
"PFIZER","EQ","19-Mar-2020","       4022.65","       3985.00","       4095.00","       3701.00","       4009.00","       4010.25","       3903.28","      68626","           267866435.90","      18898","      28901","         42.11"
"PFIZER","EQ","20-Mar-2020","       4010.25","       4035.30","       4147.75","       3965.10","       4010.00","       4016.35","       4045.89","      35185","           142354712.70","      10223","      14627","         41.57"
"PFIZER","EQ","23-Mar-2020","       4016.35","       3575.00","       3916.00","       3575.00","       3685.00","       3683.50","       3756.58","      22837","            85789004.45","       7137","      10974","         48.05"
"PFIZER","EQ","24-Mar-2020","       3683.50","       3850.00","       3898.90","       3620.00","       3685.00","       3679.50","       3725.51","      27285","           101650423.95","       6976","      13614","         49.90"
"PFIZER","EQ","25-Mar-2020","       3679.50","       3675.00","       3785.95","       3659.05","       3687.00","       3690.50","       3702.70","      15677","            58047257.60","       3265","       8113","         51.75"
"PFIZER","EQ","26-Mar-2020","       3690.50","       3723.80","       3950.00","       3708.10","       3900.00","       3902.50","       3847.56","      33572","           129170448.45","       8793","      16566","         49.34"
