"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GLENMARK","EQ","19-Feb-2021","        493.55","        491.90","        501.85","        478.15","        482.00","        482.25","        490.00","    3007629","          1473741664.05","      34774","     638085","         21.22"
"GLENMARK","EQ","22-Feb-2021","        482.25","        484.10","        485.80","        467.00","        469.70","        469.25","        475.59","    1535296","           730164767.10","      28843","     498601","         32.48"
"GLENMARK","EQ","23-Feb-2021","        469.25","        469.00","        476.20","        461.00","        465.20","        466.45","        468.59","    1468190","           687973643.30","      31014","     313102","         21.33"
"GLENMARK","EQ","24-Feb-2021","        466.45","        468.85","        470.95","        449.60","        465.70","        465.65","        464.93","     827347","           384660011.05","      17974","     295486","         35.71"
"GLENMARK","EQ","25-Feb-2021","        465.65","        469.85","        478.00","        468.60","        474.00","        472.75","        473.92","    1732202","           820924540.25","      27719","     591301","         34.14"
"GLENMARK","EQ","26-Feb-2021","        472.75","        470.00","        477.75","        463.20","        465.00","        466.20","        470.21","    1748185","           822006647.60","      31713","     517614","         29.61"
"GLENMARK","EQ","01-Mar-2021","        466.20","        468.70","        473.90","        461.80","        468.55","        467.95","        466.91","    1174175","           548229978.50","      20178","     353133","         30.07"
"GLENMARK","EQ","02-Mar-2021","        467.95","        469.00","        482.35","        467.55","        475.90","        476.00","        476.39","    1608803","           766414469.45","      24809","     405467","         25.20"
"GLENMARK","EQ","03-Mar-2021","        476.00","        479.50","        481.00","        473.10","        478.80","        478.85","        476.76","    1175643","           560504147.35","      19842","     368917","         31.38"
"GLENMARK","EQ","04-Mar-2021","        478.85","        475.00","        479.00","        470.25","        474.00","        473.70","        474.45","    1265418","           600374440.90","      19989","     375731","         29.69"
"GLENMARK","EQ","05-Mar-2021","        473.70","        473.90","        474.55","        465.00","        469.40","        467.95","        469.76","    1009076","           474027828.05","      20329","     321960","         31.91"
"GLENMARK","EQ","08-Mar-2021","        467.95","        471.25","        491.20","        466.80","        487.20","        487.10","        483.30","    2755755","          1331842834.85","      38432","     756295","         27.44"
"GLENMARK","EQ","09-Mar-2021","        487.10","        489.00","        490.00","        468.20","        474.30","        474.75","        478.42","    1472301","           704376299.15","      25401","     393720","         26.74"
"GLENMARK","EQ","10-Mar-2021","        474.75","        477.95","        491.50","        476.10","        486.90","        486.50","        484.69","    2061781","           999317427.15","      33761","     618758","         30.01"
"GLENMARK","EQ","12-Mar-2021","        486.50","        491.95","        492.95","        477.00","        477.05","        478.75","        483.79","    1561235","           755305970.65","      54436","     645546","         41.35"
"GLENMARK","EQ","15-Mar-2021","        478.75","        477.00","        478.95","        463.25","        472.40","        473.55","        470.93","    1684446","           793263925.60","      28283","     527980","         31.34"
"GLENMARK","EQ","16-Mar-2021","        473.55","        474.20","        478.50","        469.20","        476.80","        476.75","        473.99","    1150225","           545191069.30","      29080","     336850","         29.29"
"GLENMARK","EQ","17-Mar-2021","        476.75","        476.80","        477.65","        457.20","        459.80","        458.95","        463.52","    1740759","           806879658.70","      23792","     820758","         47.15"
"GLENMARK","EQ","18-Mar-2021","        458.95","        462.00","        463.50","        446.65","        455.50","        455.80","        455.52","    2539125","          1156632438.10","      42537","    1005207","         39.59"
"GLENMARK","EQ","19-Mar-2021","        455.80","        448.00","        459.95","        443.00","        457.70","        458.35","        453.64","    1224939","           555680800.40","      20471","     377400","         30.81"
