"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRANULES","EQ","19-Feb-2021","        335.80","        335.80","        336.45","        328.00","        330.90","        329.65","        330.70","    1223595","           404648602.15","      31499","     670772","         54.82"
"GRANULES","EQ","22-Feb-2021","        329.65","        330.80","        331.30","        320.15","        322.00","        321.15","        324.27","    1146022","           371615668.95","      30463","     575821","         50.25"
"GRANULES","EQ","23-Feb-2021","        321.15","        324.90","        327.00","        315.10","        322.50","        321.60","        321.97","    1514625","           487662296.60","      31457","     639120","         42.20"
"GRANULES","EQ","24-Feb-2021","        321.60","        323.30","        349.00","        319.05","        324.50","        325.00","        323.40","     776799","           251219318.40","      20786","     424655","         54.67"
"GRANULES","EQ","25-Feb-2021","        325.00","        327.00","        337.85","        325.65","        328.00","        326.55","        330.85","    2176303","           720039279.60","      38896","     782742","         35.97"
"GRANULES","EQ","26-Feb-2021","        326.55","        323.00","        336.00","        319.35","        323.00","        323.65","        328.42","    2583855","           848597977.05","      57184","    1204708","         46.62"
"GRANULES","EQ","01-Mar-2021","        323.65","        326.85","        344.40","        325.05","        344.00","        341.80","        335.97","    3335215","          1120518343.95","      50225","    1619831","         48.57"
"GRANULES","EQ","02-Mar-2021","        341.80","        344.50","        345.50","        334.50","        336.00","        336.25","        337.86","    1997954","           675025868.65","      42605","    1070534","         53.58"
"GRANULES","EQ","03-Mar-2021","        336.25","        338.25","        369.00","        338.25","        367.50","        364.40","        361.07","   10446684","          3771995287.70","     137354","    3167099","         30.32"
"GRANULES","EQ","04-Mar-2021","        364.40","        361.00","        374.45","        353.95","        361.30","        363.75","        366.20","    5865038","          2147774559.65","     111385","    1745505","         29.76"
"GRANULES","EQ","05-Mar-2021","        363.75","        356.00","        364.75","        338.00","        350.75","        349.10","        352.14","    3493862","          1230318476.55","      67763","    1142507","         32.70"
"GRANULES","EQ","08-Mar-2021","        349.10","        353.00","        359.30","        345.00","        346.30","        345.90","        350.39","    1737167","           608683072.80","      38595","     525609","         30.26"
"GRANULES","EQ","09-Mar-2021","        345.90","        347.00","        349.65","        333.00","        339.45","        339.75","        340.03","    1770481","           602016267.00","      30469","     628500","         35.50"
"GRANULES","EQ","10-Mar-2021","        339.75","        342.00","        352.95","        341.50","        350.50","        350.35","        348.77","    2655699","           926239390.65","      41376","     613915","         23.12"
"GRANULES","EQ","12-Mar-2021","        350.35","        353.55","        359.70","        342.70","        347.50","        346.25","        352.23","    3281770","          1155935060.85","      57089","    1067312","         32.52"
"GRANULES","EQ","15-Mar-2021","        346.25","        346.95","        346.95","        330.90","        335.50","        334.95","        335.78","    2198230","           738112678.00","      34818","     763330","         34.72"
"GRANULES","EQ","16-Mar-2021","        334.95","        336.00","        340.00","        330.45","        332.15","        331.20","        333.98","    1981170","           661672993.40","      32325","     672378","         33.94"
"GRANULES","EQ","17-Mar-2021","        331.20","        332.85","        335.90","        320.00","        323.00","        321.10","        326.46","    1780973","           581419764.90","      29402","     706105","         39.65"
"GRANULES","EQ","18-Mar-2021","        321.10","        326.00","        326.70","        303.00","        308.00","        305.80","        313.26","    3901628","          1222235901.10","      55990","    1371097","         35.14"
"GRANULES","EQ","19-Mar-2021","        305.80","        305.00","        315.50","        295.00","        313.00","        313.20","        307.72","    3209738","           987687477.20","      39964","     938963","         29.25"
