"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"STAR","EQ","19-Feb-2021","        893.55","        890.00","        898.80","        851.75","        869.00","        865.85","        875.73","     315765","           276525638.05","      11090","     105254","         33.33"
"STAR","EQ","22-Feb-2021","        865.85","        866.00","        882.90","        857.20","        872.50","        874.00","        871.67","     281863","           245690224.75","       8611","      97139","         34.46"
"STAR","EQ","23-Feb-2021","        874.00","        874.00","        878.35","        851.10","        852.35","        853.70","        860.62","     230287","           198189253.90","       8788","      84285","         36.60"
"STAR","EQ","24-Feb-2021","        853.70","        861.00","        868.60","        830.00","        838.00","        835.65","        846.65","     403022","           341220218.70","      12498","     172347","         42.76"
"STAR","EQ","25-Feb-2021","        835.65","        843.20","        866.00","        841.00","        855.00","        852.10","        853.07","     481798","           411007724.25","      12432","     184285","         38.25"
"STAR","EQ","26-Feb-2021","        852.10","        852.90","        863.35","        825.00","        829.95","        833.65","        845.58","     352586","           298139018.85","      13852","     137750","         39.07"
"STAR","EQ","01-Mar-2021","        833.65","        842.85","        855.50","        828.20","        833.00","        835.50","        840.42","     326787","           274638785.55","       9696","     121510","         37.18"
"STAR","EQ","02-Mar-2021","        835.50","        843.05","        890.90","        832.10","        889.00","        881.10","        858.87","     655517","           563004553.60","      18567","     289998","         44.24"
"STAR","EQ","03-Mar-2021","        881.10","        887.70","        907.00","        885.00","        894.00","        890.30","        896.80","     671387","           602096633.05","      14260","     310123","         46.19"
"STAR","EQ","04-Mar-2021","        890.30","        885.00","        888.50","        862.70","        867.90","        866.60","        875.69","     399199","           349576359.70","      16481","     172705","         43.26"
"STAR","EQ","05-Mar-2021","        866.60","        870.00","        881.00","        855.95","        869.00","        867.45","        866.21","     362566","           314057300.45","       8517","     184937","         51.01"
"STAR","EQ","08-Mar-2021","        867.45","        875.30","        889.00","        860.00","        861.95","        865.80","        872.49","     301042","           262655798.75","      10830","      82720","         27.48"
"STAR","EQ","09-Mar-2021","        865.80","        873.95","        878.00","        846.50","        851.40","        851.50","        860.77","     166967","           143719917.65","       6588","      46617","         27.92"
"STAR","EQ","10-Mar-2021","        851.50","        855.00","        864.70","        843.05","        847.00","        849.00","        854.56","     175495","           149970416.15","       6640","      57856","         32.97"
"STAR","EQ","12-Mar-2021","        849.00","        857.00","        859.40","        832.65","        837.05","        837.95","        843.34","     299945","           252956107.05","      15561","     141457","         47.16"
"STAR","EQ","15-Mar-2021","        837.95","        842.15","        849.00","        819.00","        841.00","        844.80","        833.49","     292949","           244170160.20","      13170","      77420","         26.43"
"STAR","EQ","16-Mar-2021","        844.80","        843.00","        849.70","        832.30","        839.95","        839.05","        840.40","     197660","           166113061.65","       7801","      61568","         31.15"
"STAR","EQ","17-Mar-2021","        839.05","        838.90","        851.00","        798.00","        800.00","        808.05","        824.13","     277532","           228723036.75","      10708","      98678","         35.56"
"STAR","EQ","18-Mar-2021","        808.05","        816.00","        823.15","        770.40","        775.00","        773.05","        790.93","     483283","           382243030.45","      16553","     186958","         38.68"
"STAR","EQ","19-Mar-2021","        773.05","        773.00","        795.00","        742.65","        766.00","        765.85","        766.03","    1296099","           992847398.40","      40774","     417559","         32.22"
"STAR","EQ","22-Mar-2021","        765.85","        770.00","        812.95","        770.00","        792.00","        802.15","        792.25","     497161","           393876009.05","      16816","     105462","         21.21"
"STAR","EQ","23-Mar-2021","        802.15","        799.90","        819.90","        793.65","        808.40","        808.20","        809.51","     343940","           278421324.00","       9871","      98690","         28.69"
"STAR","EQ","24-Mar-2021","        808.20","        803.90","        812.55","        784.00","        784.95","        787.85","        798.84","     276260","           220686875.20","       9037","     119257","         43.17"
"STAR","EQ","25-Mar-2021","        787.85","        788.00","        789.85","        740.00","        742.80","        743.60","        752.73","     546248","           411176423.80","      14351","     219271","         40.14"
"STAR","EQ","26-Mar-2021","        743.60","        753.00","        892.00","        751.00","        846.70","        852.35","        821.86","    2108598","          1732972440.70","      64703","     441246","         20.93"
"STAR","EQ","30-Mar-2021","        852.35","        846.70","        897.80","        835.00","        866.00","        868.15","        872.62","    1218155","          1062986739.15","      43885","     193014","         15.84"
"STAR","EQ","31-Mar-2021","        868.15","        869.90","        869.90","        835.25","        847.50","        844.70","        848.40","     354421","           300690433.95","      12599","      81008","         22.86"
"STAR","EQ","01-Apr-2021","        844.70","        854.00","        873.70","        843.00","        847.25","        850.20","        854.48","     381578","           326051379.85","      12423","      67421","         17.67"
"STAR","EQ","05-Apr-2021","        850.20","        847.00","        853.70","        824.05","        838.90","        836.85","        838.11","     292979","           245549739.10","      10050","      85476","         29.17"
"STAR","EQ","06-Apr-2021","        836.85","        841.05","        845.00","        821.55","        826.50","        828.85","        830.20","     257667","           213915160.70","      17366","      75225","         29.19"
"STAR","EQ","07-Apr-2021","        828.85","        829.00","        847.00","        825.10","        827.15","        828.35","        833.40","     257787","           214838635.40","      11471","      70378","         27.30"
"STAR","EQ","08-Apr-2021","        828.35","        832.65","        873.70","        828.05","        850.00","        846.50","        855.93","     600919","           514344823.30","      23710","     163013","         27.13"
"STAR","EQ","09-Apr-2021","        846.50","        846.00","        896.80","        837.85","        861.00","        862.80","        868.35","     873530","           758528704.90","      26064","     264139","         30.24"
"STAR","EQ","12-Apr-2021","        862.80","        849.00","        891.90","        814.05","        878.10","        872.40","        856.42","    2669805","          2286484011.20","      37886","    1784523","         66.84"
"STAR","EQ","13-Apr-2021","        872.40","        894.00","        918.00","        870.10","        873.00","        876.10","        893.94","    1765471","          1578216763.40","      61626","     335992","         19.03"
"STAR","EQ","15-Apr-2021","        876.10","        878.00","        878.00","        850.65","        852.00","        854.30","        862.38","     413052","           356208181.35","      13846","     158959","         38.48"
"STAR","EQ","16-Apr-2021","        854.30","        859.45","        929.50","        853.00","        919.50","        922.15","        908.09","    2490443","          2261552937.90","      79426","     856297","         34.38"
"STAR","EQ","19-Apr-2021","        922.15","        914.80","        934.95","        890.00","        893.50","        898.95","        914.53","    1612389","          1474571191.95","      45502","     360598","         22.36"
"STAR","EQ","20-Apr-2021","        898.95","        914.00","        927.00","        894.70","        900.95","        901.50","        908.92","     816572","           742196235.15","      24243","     218946","         26.81"
"STAR","EQ","22-Apr-2021","        901.50","        925.00","        941.65","        912.35","        915.35","        916.35","        926.48","    1172588","          1086380918.80","      43312","     309471","         26.39"
"STAR","EQ","23-Apr-2021","        916.35","        919.00","        947.00","        903.00","        914.00","        915.80","        929.13","    1136791","          1056226388.85","      33787","     264733","         23.29"
"STAR","EQ","26-Apr-2021","        915.80","        925.30","        928.00","        905.10","        912.00","        908.65","        917.50","     574314","           526932979.75","      15323","     169644","         29.54"
"STAR","EQ","27-Apr-2021","        908.65","        912.35","        914.60","        900.00","        902.05","        902.65","        906.91","     243228","           220585190.65","       8783","      63262","         26.01"
"STAR","EQ","28-Apr-2021","        902.65","        904.70","        909.75","        880.10","        883.00","        882.65","        890.68","     390741","           348023460.80","      13767","     159566","         40.84"
"STAR","EQ","29-Apr-2021","        882.65","        889.50","        900.00","        874.05","        879.35","        878.30","        885.44","     435747","           385827879.25","      14193","     168731","         38.72"
"STAR","EQ","30-Apr-2021","        878.30","        876.00","        889.90","        861.00","        865.00","        864.75","        873.82","     374064","           326863261.25","      11314","     142473","         38.09"
"STAR","EQ","03-May-2021","        864.75","        861.00","        883.00","        855.60","        860.00","        859.10","        866.80","     522220","           452657852.60","      17625","     159140","         30.47"
"STAR","EQ","04-May-2021","        859.10","        866.85","        869.00","        835.00","        838.00","        840.30","        854.36","     293070","           250388068.45","      14619","     100412","         34.26"
"STAR","EQ","05-May-2021","        840.30","        842.80","        874.00","        840.00","        853.90","        851.95","        857.31","    1026602","           880119542.30","      28732","     197067","         19.20"
"STAR","EQ","06-May-2021","        851.95","        861.00","        881.20","        848.40","        852.75","        853.05","        862.94","     734367","           633715004.95","      19574","     228112","         31.06"
"STAR","EQ","07-May-2021","        853.05","        860.00","        863.15","        825.55","        833.90","        832.10","        843.73","     499043","           421058506.80","      15574","     218610","         43.81"
"STAR","EQ","10-May-2021","        832.10","        841.10","        850.00","        833.65","        836.65","        838.45","        840.67","     425706","           357880099.95","      10890","     153712","         36.11"
"STAR","EQ","11-May-2021","        838.45","        836.00","        849.80","        835.50","        839.00","        837.75","        842.90","     303587","           255894844.65","       9114","      91602","         30.17"
"STAR","EQ","12-May-2021","        837.75","        840.90","        843.70","        807.10","        809.80","        809.55","        818.08","     604377","           494427023.60","      18510","     255145","         42.22"
"STAR","EQ","14-May-2021","        809.55","        812.90","        829.75","        805.00","        808.00","        808.35","        816.65","     486857","           397590246.20","      15068","     128646","         26.42"
"STAR","EQ","17-May-2021","        808.35","        814.65","        816.80","        792.10","        800.00","        796.75","        804.45","     304143","           244667186.25","      11170","     111562","         36.68"
"STAR","EQ","18-May-2021","        796.75","        814.90","        834.80","        792.00","        798.90","        796.65","        810.10","    1214631","           983971359.95","      32225","     376747","         31.02"
"STAR","EQ","19-May-2021","        796.65","        801.95","        827.60","        798.00","        804.00","        800.45","        810.73","     660418","           535419455.50","      18614","     214715","         32.51"
"STAR","EQ","20-May-2021","        800.45","        807.50","        817.50","        783.95","        790.95","        789.55","        796.04","     557941","           444142522.50","      15130","     258177","         46.27"
"STAR","EQ","21-May-2021","        789.55","        802.00","        806.00","        788.10","        798.00","        794.70","        795.18","     350043","           278348890.50","       9166","     113175","         32.33"
"STAR","EQ","24-May-2021","        794.70","        798.00","        806.95","        794.10","        800.00","        798.40","        800.46","     374491","           299766396.10","       9436","     126233","         33.71"
"STAR","EQ","25-May-2021","        798.40","        805.00","        811.75","        795.00","        799.10","        798.60","        802.05","     391982","           314389168.80","      10474","     137098","         34.98"
"STAR","EQ","26-May-2021","        798.60","        804.90","        820.00","        800.00","        811.50","        812.85","        810.97","     674866","           547294050.00","      17379","     185404","         27.47"
"STAR","EQ","27-May-2021","        812.85","        815.00","        834.80","        802.00","        805.00","        807.75","        819.84","    1813907","          1487119241.10","      59220","     360725","         19.89"
"STAR","EQ","28-May-2021","        807.75","        815.10","        818.35","        790.90","        796.00","        794.85","        804.84","     675465","           543644397.90","      26072","     307745","         45.56"
"STAR","EQ","31-May-2021","        794.85","        800.90","        804.00","        756.90","        769.85","        765.70","        776.67","     810642","           629604239.50","      25229","     430031","         53.05"
"STAR","EQ","01-Jun-2021","        765.70","        774.00","        777.70","        755.00","        764.00","        763.25","        765.36","     556045","           425577345.20","      18934","     253021","         45.50"
"STAR","EQ","02-Jun-2021","        763.25","        767.90","        768.00","        751.90","        759.00","        758.30","        758.75","     666695","           505855685.15","      22827","     342269","         51.34"
"STAR","EQ","03-Jun-2021","        758.30","        763.40","        804.00","        760.95","        784.15","        783.45","        785.20","    1499255","          1177216392.95","      45197","     484695","         32.33"
"STAR","EQ","04-Jun-2021","        783.45","        790.05","        797.55","        781.10","        789.00","        787.70","        789.57","     528489","           417281504.30","      21955","     209276","         39.60"
"STAR","EQ","07-Jun-2021","        787.70","        794.00","        794.50","        770.20","        778.95","        778.70","        784.77","     469410","           368378648.95","      19693","     236200","         50.32"
"STAR","EQ","08-Jun-2021","        778.70","        783.40","        843.90","        773.00","        819.80","        819.50","        823.18","    3360508","          2766307839.15","      84837","     793701","         23.62"
"STAR","EQ","09-Jun-2021","        819.50","        826.90","        838.00","        795.80","        811.65","        808.75","        820.50","     977983","           802431394.25","      28821","     288693","         29.52"
"STAR","EQ","10-Jun-2021","        808.75","        814.00","        824.30","        807.25","        814.10","        814.25","        814.30","     413441","           336665173.55","      12159","     106241","         25.70"
