,Symbol,LogisticRegression,DecisionTreeClassifier,LinearDiscriminantAnalysis,GaussianNB,SVC
0,ABBOTINDIA,51.041666666666664,46.875,55.208333333333336,51.041666666666664,61.458333333333336
1,ALKEM,59.375,56.25,62.5,54.166666666666664,62.5
2,APLLTD,57.291666666666664,43.75,58.333333333333336,55.208333333333336,57.291666666666664
3,AUROPHARMA,53.608247422680414,38.144329896907216,53.608247422680414,48.45360824742268,62.88659793814433
4,BIOCON,56.70103092783505,43.29896907216495,49.48453608247423,53.608247422680414,55.670103092783506
5,CIPLA,53.608247422680414,55.670103092783506,50.51546391752577,60.824742268041234,58.76288659793815
6,DIVISLAB,44.79166666666667,40.625,55.208333333333336,59.375,53.125
7,DRREDDY,54.63917525773196,53.608247422680414,50.51546391752577,50.51546391752577,56.70103092783505
8,GLENMARK,53.125,50.0,50.0,56.25,53.125
9,GRANULES,53.125,42.70833333333333,54.166666666666664,47.91666666666667,54.166666666666664
10,IPCALAB,60.824742268041234,57.73195876288659,57.73195876288659,59.79381443298969,59.79381443298969
11,LAURUSLABS,55.208333333333336,58.333333333333336,56.25,56.25,57.291666666666664
12,LUPIN,56.70103092783505,45.36082474226804,54.63917525773196,60.824742268041234,59.79381443298969
13,NATCOPHARM,51.041666666666664,48.95833333333333,46.875,50.0,47.91666666666667
14,STAR,62.88659793814433,41.23711340206185,62.88659793814433,52.57731958762887,62.88659793814433
15,SUNPHARMA,48.45360824742268,50.51546391752577,47.42268041237113,46.391752577319586,44.329896907216494
16,TORNTPHARM,56.70103092783505,51.546391752577314,53.608247422680414,55.670103092783506,56.70103092783505
17,CADILAHC,59.375,65.625,62.5,56.25,64.58333333333334
18,PFIZER,59.375,55.208333333333336,58.333333333333336,50.0,66.66666666666666
19,Combined,55.15124796527401,49.76035449448363,54.72565111231687,53.95358563935612,57.66583016820402
