,Symbol,LogisticRegression,DecisionTreeClassifier,LinearDiscriminantAnalysis,GaussianNB,SVC
0,ABBOTINDIA,71.875,59.375,70.83333333333334,63.541666666666664,68.75
1,ALKEM,54.166666666666664,48.95833333333333,55.208333333333336,53.125,54.166666666666664
2,APLLTD,50.0,48.95833333333333,47.91666666666667,48.95833333333333,52.083333333333336
3,AUROPHARMA,69.0721649484536,34.02061855670103,69.0721649484536,63.91752577319587,71.1340206185567
4,BIOCON,61.855670103092784,47.42268041237113,60.824742268041234,60.824742268041234,59.79381443298969
5,CIPLA,63.91752577319587,47.42268041237113,63.91752577319587,61.855670103092784,63.91752577319587
6,DIVISLAB,66.66666666666666,65.625,64.58333333333334,59.375,67.70833333333334
7,DRREDDY,58.76288659793815,47.42268041237113,57.73195876288659,58.76288659793815,57.73195876288659
8,GLENMARK,61.458333333333336,59.375,61.458333333333336,62.5,61.458333333333336
9,GRANULES,62.5,51.041666666666664,62.5,63.541666666666664,61.458333333333336
10,IPCALAB,58.76288659793815,47.42268041237113,58.76288659793815,53.608247422680414,58.76288659793815
11,LAURUSLABS,64.58333333333334,58.333333333333336,65.625,64.58333333333334,64.58333333333334
12,LUPIN,61.855670103092784,65.97938144329896,60.824742268041234,67.0103092783505,69.0721649484536
13,NATCOPHARM,57.291666666666664,44.79166666666667,57.291666666666664,61.458333333333336,64.58333333333334
14,STAR,53.608247422680414,57.73195876288659,47.42268041237113,42.2680412371134,68.04123711340206
15,SUNPHARMA,54.63917525773196,49.48453608247423,53.608247422680414,55.670103092783506,55.670103092783506
16,TORNTPHARM,57.73195876288659,49.48453608247423,54.63917525773196,43.29896907216495,55.670103092783506
17,CADILAHC,60.416666666666664,32.29166666666667,56.25,36.45833333333333,71.875
18,PFIZER,54.166666666666664,56.25,50.0,38.54166666666667,54.166666666666664
19,Combined,60.17532555615844,51.12588171459577,58.86688370410562,55.75262253572074,62.13827093506965
